N	3gram	Tiupa_Anal_3	FransuaR
1	о том что	5	5
2	то же время	3	5
3	в то же	3	5
4	в самом деле	1	4
5	с одной стороны	2	4
6	в большинстве случаев	1	4
7	в этом отношении	3	3
8	в первом случае	1	3
9	во втором случае	1	3
10	до сих пор	1	3
11	в этой роли	1	2
12	и в особенности	1	2
13	с точки зрения	2	2
14	в данном случае	3	2
15	и тот же	1	2
16	с другой стороны	5	2
17	таким образом в	1	2
18	то есть в	1	2
19	в том что	7	2
20	и т.п все	1	2
21	и прежде всего	2	2
22	и того же	3	1
23	в частности и	1	1
24	по отношению к	7	1
25	в той или	1	1
26	в основе своей	1	1
27	и строго отграниченная	1	1
28	дело в том	2	1
29	из этих трех	1	1
30	и так сказать	1	1
31	один и тот	1	1
32	но это все	1	1
33	именно в этом	1	1
34	бы в точке	1	1
35	между тем как	1	1
36	одной стороны с	1	1
37	на этот вопрос	1	1
38	со всех сторон	1	1
39	до известной степени	3	1
40	сам по себе	1	1
41	как раз в	1	1
42	оно никогда не	1	1
43	прежде всего с	1	1
44	и в этой	1	1
45	и как бы	1	1
46	это все же	1	1
47	в связи с	1	1
48	а не как	1	1
49	как бы в	1	1
50	то есть от	1	1
51	для того чтобы	1	1
52	не может быть	1	1
53	лишь в одном	1	1
54	не могла не	1	1
55	в зависимости от	1	1
56	между собой и	1	1
57	в значительной степени	2	1
58	заключается в том	1	1
59	в одном из	1	1
60	не только в	1	1
61	каждом из этих	1	1
62	той или иной	3	1
63	можно сказать что	2	1
64	был в значительной	1	1
65	одного и того	3	1
66	о себе самом	1	1
67	а с другой	1	1
68	в каждом из	1	1
69	в особенности же	1	1
70	в самом центре	1	1
71	том что он	2	1
72	человека и его	1	1
73	что и в	1	1
74	то что не	1	1
