N	2gram	Tiupa_Lite_1	Otkroven
1	у него	3	22
2	и в	8	19
3	у достоевского	2	19
4	но и	17	13
5	и не	12	13
6	в этом	12	12
7	человека в	1	11
8	не в	8	11
9	не только	24	11
10	может быть	13	11
11	а не	16	11
12	человека и	2	10
13	вопрос о	1	10
14	в нем	2	10
15	и все	1	10
16	прежде всего	11	9
17	не было	3	9
18	никогда не	4	9
19	потому что	3	9
20	он был	1	8
21	и он	1	8
22	в его	7	7
23	он не	1	7
24	лишь в	4	7
25	до конца	1	7
26	нет ничего	2	7
27	от него	1	7
28	человеческой личности	1	6
29	как и	6	6
30	отношение к	1	5
31	в том	16	5
32	в самом	3	5
33	в этой	4	5
34	для него	2	5
35	в россии	2	5
36	в творчестве	1	5
37	него в	1	5
38	о его	1	5
39	а в	3	5
40	то что	10	5
41	он сам	1	4
42	с его	5	4
43	все в	1	4
44	все эти	2	4
45	что не	2	4
46	не может	5	4
47	есть лишь	1	4
48	и его	4	4
49	что в	3	4
50	и есть	3	3
51	достоевского в	1	3
52	различие между	2	3
53	быть может	1	3
54	о том	2	3
55	еще не	4	3
56	во имя	2	3
57	к нему	1	3
58	было бы	2	3
59	того что	6	3
60	что он	5	3
61	в себе	7	3
62	человеческого духа	2	3
63	и вот	1	3
64	это было	1	3
65	это не	4	3
66	никто не	1	3
67	могут быть	2	3
68	как бы	7	3
69	записки из	1	3
70	в русской	10	3
71	и от	1	3
72	в этих	1	3
73	хотя бы	2	3
74	в своих	4	3
75	он лишь	1	3
76	все что	1	3
77	и с	1	2
78	и то	2	2
79	о любви	1	2
80	в ее	1	2
81	мысль о	1	2
82	от самого	2	2
83	так и	4	2
84	и о	1	2
85	никогда и	1	2
86	их не	2	2
87	и на	1	2
88	что и	1	2
89	что они	1	2
90	как к	1	2
91	россии в	1	2
92	в своем	11	2
93	и нет	2	2
94	все же	4	2
95	в которой	1	2
96	он в	1	2
97	уже в	5	2
98	с чем	2	2
99	в душе	3	2
100	что для	2	2
101	одно из	3	2
102	же это	2	2
103	так как	1	2
104	тем что	2	2
105	в другом	2	2
106	его в	3	2
107	человека а	1	2
108	достоевского с	1	2
109	сказать что	1	2
110	с тем	1	2
111	должно быть	1	2
112	достоевского но	1	2
113	том что	14	2
114	что есть	1	2
115	к этому	1	2
116	что же	1	2
117	не могли	1	2
118	ничего кроме	2	2
119	не имеет	1	2
120	у кого	1	2
121	и бесконечно	1	2
122	не есть	2	2
123	жизни в	1	2
124	в своей	4	2
125	всего в	3	2
126	к этой	1	2
127	но в	3	2
128	бог и	1	1
129	кто бы	1	1
130	внутренней свободы	2	1
131	также и	3	1
132	например в	3	1
133	можно и	1	1
134	частности может	1	1
135	не делает	1	1
136	чтобы не	2	1
137	от самой	1	1
138	в виду	3	1
139	людей в	1	1
140	на самом	1	1
141	с каким	1	1
142	тем же	3	1
143	между двумя	1	1
144	к другому	1	1
145	этому произведению	1	1
146	не те	1	1
147	должна быть	2	1
148	и природой	1	1
149	можно было	2	1
150	жизнь а	1	1
151	есть не	1	1
152	собой в	1	1
153	в борьбе	1	1
154	особый мир	3	1
155	же принадлежит	1	1
156	мы не	1	1
157	преступления и	1	1
158	ту же	2	1
159	уверен что	1	1
160	если бы	1	1
161	в эпоху	1	1
162	не читает	1	1
163	его романов	1	1
164	ведет свое	1	1
165	в сущности	2	1
166	но может	1	1
167	жизни как	1	1
168	о нем	1	1
169	другом месте	1	1
170	люди с	1	1
171	не иметь	1	1
172	и что	1	1
173	его жизни	1	1
174	это должно	1	1
175	и нигде	1	1
176	все та	2	1
177	самому себе	1	1
178	достоевского всегда	1	1
179	во внешнем	1	1
180	самом деле	2	1
181	но не	4	1
182	которых в	1	1
183	то он	2	1
184	нуждается в	3	1
185	и я	6	1
186	человеческого достоинства	1	1
187	толстого и	1	1
188	быть он	1	1
189	но сам	1	1
190	в центре	1	1
191	в одной	1	1
192	как в	5	1
193	как например	1	1
194	в частности	15	1
195	своей глубине	2	1
196	один из	3	1
197	на человека	1	1
198	сознания в	12	1
199	и как	1	1
200	духа и	1	1
201	не идет	1	1
202	то в	1	1
203	за собой	1	1
204	который в	1	1
205	между этими	1	1
206	представляет собой	4	1
207	не оставляет	2	1
208	со всеми	1	1
209	к которой	1	1
210	с какой	1	1
211	же и	3	1
212	с их	3	1
213	уже не	7	1
214	говорят о	1	1
215	на то	1	1
216	бы ни	1	1
217	и других	1	1
218	да и	3	1
219	как мыслитель	1	1
220	из них	4	1
221	от которого	1	1
222	чего бы	1	1
223	ключ к	1	1
224	мир в	4	1
225	к одному	1	1
226	в силу	4	1
227	в одном	1	1
228	вовсе не	1	1
229	и сам	6	1
230	на свободу	1	1
231	свободу в	1	1
232	этом отношении	2	1
233	художник не	1	1
234	имя свободы	1	1
235	в каждом	1	1
236	ни был	1	1
237	своем я	2	1
238	бытие и	1	1
239	его принадлежности	1	1
240	и даже	3	1
241	со стороны	4	1
242	для художника	1	1
243	самим собой	2	1
244	в глазах	1	1
245	с той	1	1
246	и прежде	3	1
247	было и	1	1
248	и наказания	1	1
249	во внешней	1	1
250	в жизни	6	1
251	кажется что	1	1
252	в это	1	1
253	смерть и	1	1
254	него из	1	1
255	жизни человека	1	1
256	в них	1	1
257	свободы от	3	1
258	вл соловьева	2	1
259	а с	1	1
260	стремится к	1	1
261	и завершает	1	1
262	всю жизнь	1	1
263	романы достоевского	1	1
264	человек в	1	1
265	ведет к	4	1
266	в чистом	1	1
267	в мире	2	1
268	природы это	1	1
269	мира в	3	1
270	он и	3	1
271	и ему	1	1
272	проникновения в	1	1
273	не так	1	1
274	места в	1	1
275	пределы искусства	1	1
276	художественного творчества	3	1
277	русской литературы	2	1
278	как это	8	1
279	в котором	1	1
280	красоте если	1	1
281	он говорит	1	1
282	русской и	1	1
283	как глубоко	1	1
284	одном из	1	1
285	в сферу	2	1
286	мир и	2	1
287	в поэме	1	1
288	для многих	2	1
289	права на	1	1
290	который всегда	1	1
291	в мир	1	1
292	мотив в	1	1
293	всяком случае	2	1
294	с тобой	1	1
295	и более	1	1
296	в конце	4	1
297	как от	1	1
