N	2gram	Berdyaev_V_1	Literetu
1	а не	7	20
2	и в	16	19
3	может быть	1	17
4	то же	1	12
5	и не	20	11
6	как и	4	10
7	в том	3	10
8	но и	5	10
9	тогда как	1	9
10	в этом	4	9
11	в мире	5	9
12	пути в	1	8
13	не только	2	8
14	с другой	1	8
15	том что	2	7
16	так и	4	7
17	я в	1	7
18	то что	9	7
19	и на	1	6
20	я не	1	5
21	но не	2	5
22	одна из	2	5
23	у нас	1	5
24	то есть	1	5
25	того что	5	5
26	с тобой	2	5
27	вместе с	1	5
28	мы не	2	4
29	человека в	1	4
30	для него	2	4
31	не в	3	4
32	в ней	4	4
33	в его	4	4
34	один из	2	4
35	не случайно	1	4
36	тем что	2	4
37	прежде всего	2	4
38	в искусстве	1	4
39	жизни в	1	4
40	другой стороны	1	4
41	жизни и	3	4
42	что в	3	4
43	речь идет	1	3
44	и то	2	3
45	во всех	3	3
46	в этой	1	3
47	то и	1	3
48	в нем	4	3
49	в глазах	1	3
50	перестает быть	1	3
51	в их	1	3
52	никогда не	3	3
53	ничего не	1	3
54	в себя	2	3
55	не с	2	3
56	и с	1	3
57	быть может	1	3
58	но с	1	3
59	а в	2	3
60	так как	9	3
61	себе и	1	3
62	но это	3	3
63	и для	3	3
64	что он	4	3
65	от слова	1	3
66	и т	2	2
67	и до	1	2
68	и за	2	2
69	в первый	3	2
70	на себя	5	2
71	во имя	32	2
72	но как	1	2
73	если в	1	2
74	в истории	8	2
75	все же	1	2
76	но в	3	2
77	в противоположность	1	2
78	со своей	1	2
79	в целом	1	2
80	жизнь как	1	2
81	о которой	1	2
82	и сам	2	2
83	на этом	1	2
84	в жизни	3	2
85	в них	3	2
86	все равно	2	2
87	с этой	1	2
88	с тем	2	2
89	как бы	5	2
90	не к	2	2
91	что я	3	2
92	что было	2	2
93	по крайней	1	2
94	из нас	1	2
95	на два	1	2
96	не по	1	2
97	мы мы	1	2
98	в образах	1	2
99	могут быть	2	2
100	для того	1	2
101	для себя	1	2
102	в виду	1	2
103	в ее	1	2
104	это как	1	2
105	за то	3	2
106	еще не	8	2
107	и что	3	2
108	для нас	2	2
109	а потому	1	2
110	крайней мере	1	2
111	не надо	1	2
112	в русском	1	2
113	тот же	3	2
114	и насилием	1	2
115	потому что	4	2
116	уже не	2	2
117	уже в	1	2
118	не так	2	2
119	жил и	1	2
120	в одном	1	2
121	в конце	3	2
122	что и	3	2
123	вовсе не	1	2
124	у него	1	2
125	я вижу	1	2
126	себя и	1	2
127	что не	4	2
128	не было	3	2
129	него не	1	2
130	мира в	2	2
131	как это	1	2
132	и столь	1	2
133	над ним	1	2
134	к жизни	1	2
135	и нет	1	2
136	в результате	1	2
137	а к	2	2
138	в третьем	1	2
139	хотя бы	3	2
140	с ним	2	2
141	первый раз	3	2
142	что ты	3	2
143	в роли	1	2
144	в своих	1	2
145	все что	4	2
146	и вновь	1	2
147	эта новая	1	1
148	от своей	2	1
149	если б	1	1
150	по которым	2	1
151	должна быть	3	1
152	пути не	1	1
153	как мы	1	1
154	пути на	1	1
155	что уже	1	1
156	в будущем	1	1
157	к бытию	3	1
158	дороги и	2	1
159	их жизнь	2	1
160	он был	1	1
161	бы то	1	1
162	в чем	3	1
163	истории в	1	1
164	твой я	1	1
165	людей что	2	1
166	личности есть	1	1
167	сознания не	1	1
168	в новом	1	1
169	и будет	3	1
170	жизни все	2	1
171	которые не	2	1
172	и я	4	1
173	это самое	1	1
174	более чем	2	1
175	кому бы	1	1
176	как в	1	1
177	победы над	1	1
178	и своего	1	1
179	с тобою	3	1
180	и свою	1	1
181	личности а	2	1
182	от этого	3	1
183	и хотя	1	1
184	в земной	2	1
185	в самом	1	1
186	что это	1	1
187	от бога	8	1
188	все эти	3	1
189	личности по	1	1
190	в известном	1	1
191	слово это	1	1
192	забыв о	1	1
193	конце концов	1	1
194	государства как	1	1
195	слова которое	1	1
196	и вот	1	1
197	и сказал	1	1
198	на земле	7	1
199	свобода есть	1	1
200	и по	1	1
201	то ни	1	1
202	себя мы	1	1
203	его не	2	1
204	его личности	1	1
205	это не	2	1
206	в исторических	1	1
207	люди не	2	1
208	она и	1	1
209	между собою	1	1
210	ведет к	1	1
211	и было	1	1
212	в этих	3	1
213	о людях	1	1
214	в своей	3	1
215	как сама	1	1
216	людям в	1	1
217	является в	2	1
218	назад не	1	1
219	их в	3	1
220	свобода и	1	1
221	тому что	3	1
222	что есть	5	1
223	не имеет	3	1
224	того как	1	1
225	а ты	1	1
226	уже раз	1	1
227	свободы и	12	1
228	есть путь	1	1
229	и сто	1	1
230	и всегда	1	1
231	пути и	1	1
232	во всем	1	1
233	есть не	1	1
234	и теперь	2	1
235	в сознании	1	1
236	мы и	2	1
237	что на	1	1
238	была с	1	1
239	не могут	2	1
240	насилия и	1	1
241	что со	1	1
242	к тому	3	1
243	о судьбе	1	1
244	того чтобы	2	1
245	вечности и	2	1
246	над людьми	1	1
247	и говорит	1	1
248	думаю что	1	1
249	во главе	2	1
250	человеческой воли	1	1
251	превыше всего	2	1
252	на том	2	1
253	в образе	4	1
254	можно было	2	1
255	на нее	1	1
256	мы в	1	1
257	основана на	1	1
258	в словах	1	1
259	и внешней	1	1
260	нас и	3	1
261	находится в	1	1
262	вот почему	2	1
263	но мы	2	1
264	после того	1	1
265	любви к	1	1
266	нет у	4	1
267	бы в	1	1
268	мы во	2	1
269	и мы	3	1
270	идет по	1	1
271	существе своем	2	1
272	мире и	1	1
273	богом и	1	1
274	путь которым	2	1
275	твое и	2	1
276	тем чтобы	1	1
277	слова не	1	1
278	чего бы	1	1
279	земли и	2	1
280	личности и	3	1
281	не сумеет	1	1
282	не для	1	1
283	бытия и	1	1
284	ее на	1	1
285	лишив его	1	1
286	нас как	1	1
287	нет и	2	1
288	мы это	2	1
289	как сам	1	1
290	что человек	1	1
291	не просто	1	1
292	я был	1	1
293	еще и	1	1
294	а с	2	1
295	души и	1	1
296	говорит о	1	1
297	на всей	1	1
298	к человеку	1	1
299	сделать их	1	1
300	свободы от	3	1
301	не всегда	1	1
302	что мы	4	1
303	о счастье	5	1
304	него в	1	1
305	так же	1	1
306	и потому	7	1
307	он говорит	1	1
308	ненависть к	1	1
309	нужны слова	1	1
310	бунт против	1	1
311	в тот	1	1
312	и менее	1	1
313	в своем	1	1
314	лет назад	1	1
315	и от	1	1
316	его власти	1	1
317	наконец сами	1	1
318	о мире	1	1
319	всего в	2	1
320	самого дорогого	1	1
321	это он	1	1
322	мира и	1	1
323	которая в	1	1
324	себя только	1	1
325	вся сложность	1	1
326	ее и	2	1
327	всего что	1	1
328	от него	2	1
329	и все	4	1
330	личность не	1	1
331	можно признать	1	1
332	к ее	1	1
333	ты не	5	1
334	нет ничего	3	1
335	о своем	1	1
336	социализма и	1	1
337	в последнем	2	1
338	жизнь человеческая	1	1
339	есть и	1	1
340	ее в	2	1
341	есть свобода	1	1
342	и эта	1	1
343	у людей	2	1
344	к этому	1	1
345	они не	1	1
