N	2gram	Berdyaev_M_1	NovoeSre
1	новой истории	4	67
2	а не	25	17
3	и в	28	16
4	не может	28	16
5	во имя	10	15
6	и не	11	11
7	и есть	14	10
8	в эпоху	1	9
9	истории и	2	9
10	что в	10	9
11	в том	6	8
12	жизни и	2	8
13	он не	24	8
14	культуры и	1	7
15	в этом	20	7
16	к новому	2	7
17	в новой	1	7
18	может быть	30	7
19	как и	5	7
20	это есть	3	7
21	высшей степени	2	6
22	возврат к	1	6
23	с его	3	6
24	новая история	1	6
25	от бога	1	6
26	не в	16	6
27	в высшей	2	6
28	никогда не	14	6
29	лишь в	6	6
30	но это	1	6
31	не знает	4	6
32	кризис культуры	1	6
33	должен быть	2	5
34	в ней	15	5
35	истории в	2	5
36	культуры в	1	5
37	и к	2	5
38	не только	29	5
39	в жизни	3	5
40	xix века	4	5
41	все это	6	5
42	в нем	13	5
43	не во	1	4
44	быть может	7	4
45	о том	2	4
46	и мы	2	4
47	жизни к	1	4
48	наше время	1	4
49	античного мира	1	4
50	в них	4	4
51	то что	5	4
52	это не	5	4
53	прежде всего	10	4
54	не было	18	4
55	должно быть	3	4
56	к старому	1	4
57	есть лишь	9	4
58	и потому	10	4
59	по своему	2	4
60	значит что	4	4
61	не менее	1	4
62	и для	2	4
63	не имеет	3	4
64	и все	10	4
65	потому что	16	4
66	смысле слова	4	3
67	в ее	3	3
68	должна быть	6	3
69	верить в	1	3
70	вопрос о	2	3
71	человека и	14	3
72	было такого	1	3
73	исторической эпохи	1	3
74	еще не	1	3
75	во всех	1	3
76	гуманистическое самоутверждение	2	3
77	за пределы	4	3
78	в истории	2	3
79	наряду с	1	3
80	как в	2	3
81	духа и	4	3
82	ночной стихии	1	3
83	конечно не	3	3
84	не значит	2	3
85	к ним	1	3
86	имя свободы	1	3
87	в мире	10	3
88	но и	25	3
89	это было	1	3
90	не есть	9	3
91	с тем	9	3
92	бога и	10	3
93	в своей	15	3
94	к жизни	1	3
95	в россии	2	3
96	она не	4	3
97	что такое	1	3
98	в наше	2	3
99	нашей эпохи	2	3
100	не существует	2	3
101	жизни не	1	3
102	в основе	2	3
103	к ее	1	3
104	жизни в	2	3
105	в духе	1	3
106	к тому	3	3
107	сказать что	2	3
108	и это	12	2
109	нем нет	1	2
110	связана с	2	2
111	это и	4	2
112	время как	2	2
113	на путях	3	2
114	роль в	1	2
115	для нового	1	2
116	можно было	1	2
117	так и	1	2
118	мы не	1	2
119	мира и	5	2
120	и с	3	2
121	еще до	1	2
122	но она	1	2
123	я не	1	2
124	жизни как	1	2
125	из глубины	3	2
126	и что	2	2
127	и на	6	2
128	на протяжении	2	2
129	но не	8	2
130	к богу	3	2
131	божественной жизни	2	2
132	в свои	1	2
133	все время	1	2
134	в центре	2	2
135	с этим	3	2
136	xix век	1	2
137	духовного мира	1	2
138	ни к	1	2
139	но в	7	2
140	учителей церкви	1	2
141	духа в	3	2
142	в обществе	1	2
143	все эти	2	2
144	себя в	3	2
145	с их	2	2
146	в себе	7	2
147	уже не	4	2
148	может уже	1	2
149	в религиозном	1	2
150	это связано	1	2
151	стремиться к	1	2
152	не к	4	2
153	у него	17	2
154	что она	1	2
155	и заключается	1	2
156	нет и	5	2
157	и даже	1	2
158	связаны с	1	2
159	духовной жизни	3	2
160	том что	3	2
161	всемирной истории	2	2
162	вместе с	6	2
163	так же	1	2
164	мы говорим	1	2
165	место в	2	2
166	не знал	4	2
167	мысли и	2	2
168	мир и	1	2
169	обращение к	1	2
170	в духовной	2	2
171	если нет	5	2
172	как будто	2	2
173	возвращается к	2	2
174	этот мир	2	2
175	свободы в	11	2
176	в смысле	1	2
177	в то	2	2
178	к духовному	1	2
179	мысли в	1	2
180	того чтобы	2	2
181	средневековья и	1	2
182	и от	2	2
183	человека во	1	2
184	самой жизни	1	2
185	хотя бы	3	2
186	а в	4	2
187	от всякого	1	2
188	свободы человека	1	2
189	на гибель	1	2
190	когда мы	2	2
191	могут быть	2	2
192	свободы и	10	2
193	свобода духа	4	2
194	можно назвать	1	2
195	как формальное	1	1
196	также что	1	1
197	производить впечатление	1	1
198	и через	1	1
199	становится в	1	1
200	людей в	1	1
201	переход от	1	1
202	христовых и	1	1
203	нельзя мыслить	1	1
204	христианского мира	6	1
205	этого мира	3	1
206	приводит к	2	1
207	и до	1	1
208	можно лишь	1	1
209	наиболее всечеловеческий	1	1
210	и мысли	1	1
211	конце новой	1	1
212	слова а	1	1
213	человеческих сил	1	1
214	был и	1	1
215	природе своей	1	1
216	теократии не	1	1
217	и этот	4	1
218	в образе	1	1
