N	2gram	Medvedev_V_1	RusskieA
1	и в	2	36
2	том что	2	19
3	в том	2	17
4	так как	1	15
5	в этом	1	12
6	потому что	1	10
7	и не	1	6
8	все это	1	6
9	в которых	1	5
10	в их	1	4
11	так в	1	4
12	по существу	1	4
13	но это	1	4
14	только в	1	4
15	к этому	1	4
16	то же	1	3
17	для них	1	3
18	далеко не	1	3
19	не будем	1	3
20	главным образом	1	2
21	том же	1	2
22	в частности	1	2
23	говоря о	1	1
24	самом деле	1	1
25	а только	1	1
26	одном и	1	1
27	же с	1	1
28	говорится в	1	1
29	образом из	1	1
30	дело в	1	1
31	зависят от	1	1
32	две большие	1	1
33	и его	1	1
34	они на	1	1
35	от общего	1	1
36	имеется в	1	1
37	веселовского в	1	1
38	же все	1	1
39	же месте	1	1
40	на заре	1	1
41	под влиянием	1	1
42	пишет чем	1	1
43	по поводу	1	1
44	и том	1	1
45	деле как	1	1
