N	3gram	Tiupa_Narr_1	Vvedenie
1	в том что	8	12
2	о том что	6	12
3	в этом смысле	1	8
4	не может быть	5	8
5	тем не менее	3	8
6	до сих пор	1	6
7	в самом деле	1	6
8	то же время	3	6
9	в то же	3	6
10	в той мере	1	5
11	в том чтобы	1	5
12	той мере в	1	5
13	с другой стороны	4	5
14	мере в какой	1	5
15	что иное как	2	4
16	по отношению к	6	4
17	и в особенности	1	4
18	в этом отношении	3	4
19	можно было бы	2	4
20	по крайней мере	1	4
21	в данном случае	4	4
22	не только в	2	4
23	так или иначе	2	4
24	само по себе	1	4
25	не что иное	2	4
26	с одной стороны	7	4
27	в известном смысле	2	3
28	можно сказать что	4	3
29	но все же	4	3
30	как мы видели	1	3
31	в свое время	1	3
32	до наших дней	1	2
33	что несмотря на	1	2
34	что в этом	1	2
35	состоит в том	3	2
36	дело в том	1	2
37	подобно тому как	2	2
38	в соответствии с	1	2
39	то же самое	1	2
40	с точки зрения	2	2
41	точно так же	2	2
42	может быть и	1	2
43	дело не с	1	2
44	в связи с	2	2
45	а также и	1	2
46	есть не что	1	2
47	то что могло	1	2
48	как мы уже	1	2
49	той или иной	4	2
50	и того же	1	1
51	не может не	2	1
52	одна за другой	1	1
53	по себе не	1	1
54	в той или	2	1
55	только потому что	1	1
56	как уже говорилось	1	1
57	обнаруживают за собой	1	1
58	нами не как	1	1
59	мы имеем дело	2	1
60	прежде всего в	1	1
61	более или менее	2	1
62	на самом деле	1	1
63	одной из этих	1	1
64	в том же	1	1
65	нельзя признать вполне	1	1
66	то или иное	2	1
67	как это было	1	1
68	в таком случае	2	1
69	сам по себе	1	1
70	в отличие от	5	1
71	только то что	1	1
72	что не только	1	1
73	на историю и	1	1
74	поскольку мы имеем	1	1
75	или иной степени	1	1
76	том или ином	2	1
77	имеем дело с	1	1
78	и др в	1	1
79	в этом качестве	1	1
80	она может быть	1	1
81	собой не что	1	1
82	может быть только	1	1
83	с этой точки	1	1
84	и не в	4	1
85	ту или иную	2	1
86	не то что	2	1
87	и то что	1	1
88	все то что	1	1
89	в том или	2	1
90	так же как	2	1
91	а не только	1	1
92	не могло не	1	1
93	в первом случае	2	1
94	и т.д в	1	1
95	то ни было	3	1
96	отношению к нему	1	1
97	большую или меньшую	1	1
98	но уже в	1	1
99	из которых первые	1	1
100	какой бы то	1	1
101	исторического бытия и	1	1
102	нередко встречается в	1	1
103	в нем не	1	1
104	бы то ни	3	1
105	составляет один из	1	1
106	и до наших	1	1
107	речь идет об	1	1
108	этой точки зрения	2	1
109	но не может	1	1
110	в тексте не	1	1
111	которая не могла	1	1
112	бытии но в	1	1
113	в новейшее время	1	1
114	в свою очередь	3	1
115	прежде всего к	1	1
116	того или иного	2	1
117	и прежде всего	1	1
118	в этой системе	1	1
119	было бы именовать	1	1
120	как своего рода	1	1
121	одного и того	1	1
122	же время в	1	1
123	из этих двух	1	1
124	обратим внимание на	1	1
125	дело с текстами	1	1
126	особое отношение к	1	1
127	во всех его	1	1
