N	2gram	Propp_Isto_2	Psycholo
1	то что	12	32
2	и в	15	31
3	в том	6	30
4	и т	19	26
5	что в	12	23
6	может быть	17	22
7	таким образом	7	20
8	при помощи	2	20
9	совершенно ясно	2	19
10	при этом	4	19
11	так как	14	18
12	не может	5	17
13	как и	2	16
14	том что	7	16
15	и не	11	16
16	только в	6	14
17	не только	18	13
18	что и	6	13
19	а не	5	13
20	мы не	3	12
21	если мы	1	12
22	так же	13	12
23	в этом	11	12
24	в самом	1	11
25	не в	7	11
26	могут быть	2	11
27	в сущности	2	10
28	на то	3	10
29	того что	3	10
30	потому что	9	10
31	самом деле	2	9
32	по себе	1	9
33	ни в	2	9
34	как в	5	9
35	показать что	2	8
36	т д	18	8
37	и что	6	8
38	всякий раз	1	8
39	никогда не	15	8
40	что мы	3	8
41	вместе с	7	8
42	все это	3	8
43	сказать что	2	7
44	того чтобы	2	7
45	и его	3	7
46	о том	3	7
47	тому как	3	7
48	что он	24	7
49	что это	6	6
50	зависимости от	1	6
51	отнюдь не	1	6
52	из этих	3	6
53	что она	5	6
54	было бы	5	6
55	в его	6	6
56	вслед за	1	6
57	вовсе не	1	6
58	одной стороны	3	6
59	до конца	1	6
60	а в	12	6
61	и есть	5	5
62	в зависимости	1	5
63	то же	10	5
64	с одной	4	5
65	в целом	1	5
66	и совершенно	1	5
67	подобно тому	3	5
68	показывает что	4	5
69	несмотря на	1	5
70	оказывается что	2	5
71	она не	5	5
72	в то	1	5
73	в процессе	1	5
74	как будто	3	5
75	для нас	4	5
76	с другой	2	5
77	мы видим	8	5
78	в какой	1	5
79	так что	6	5
80	был бы	2	5
81	как бы	6	5
82	все же	9	5
83	и для	2	5
84	говорит что	3	5
85	другой стороны	2	5
86	же как	5	4
87	в котором	5	4
88	мы имеем	15	4
89	в которой	2	4
90	в виду	2	4
91	у него	4	4
92	отличие от	1	4
93	в себе	4	4
94	и если	2	4
95	по существу	2	4
96	одной и	1	4
97	в совершенно	1	4
98	одна из	2	4
99	у нас	1	4
100	очень часто	4	4
101	к тому	5	4
102	со стороны	1	4
103	прежде всего	5	4
104	один из	8	4
105	мы увидим	8	4
106	для всех	1	4
107	могло бы	1	4
108	мы можем	8	4
109	там где	1	4
110	и так	2	4
111	как это	3	4
112	этого слова	1	4
113	с этой	1	4
114	и о	1	4
115	в результате	1	4
116	чтобы понять	2	4
117	в этих	11	4
118	указывает на	1	4
119	и другие	4	4
120	к этому	1	4
121	например в	2	3
122	это и	1	3
123	почти всегда	1	3
124	что эти	4	3
125	той же	2	3
126	социальной и	1	3
127	вопрос о	4	3
128	себе а	1	3
129	в которых	2	3
130	но не	2	3
131	с этим	5	3
132	что по	1	3
133	и к	1	3
134	себе не	1	3
135	но в	6	3
136	уже в	2	3
137	в этой	4	3
138	им в	1	3
139	его и	4	3
140	тому же	2	3
141	думается что	1	3
142	состоит в	2	3
143	надо сказать	1	3
144	в силу	2	3
145	и по	2	3
146	не будет	1	3
147	с тем	9	3
148	мы знаем	11	3
149	в своей	1	3
150	представление о	2	3
151	в отличие	1	3
152	и той	1	3
153	что эта	2	3
154	точно так	6	3
155	только не	1	3
156	во всем	1	3
157	что на	1	3
