N	2gram	Voloshinov_1	Vladivir
1	и в	16	31
2	в году	1	30
3	не только	7	24
4	но и	4	19
5	то что	3	18
6	и не	4	17
7	и даже	4	15
8	у него	2	15
9	в этом	9	14
10	том что	3	14
11	и с	8	14
12	он был	1	14
13	что в	3	14
14	но в	4	12
15	в его	4	12
16	что он	2	12
17	по поводу	1	12
18	с его	7	11
19	же с	1	11
20	о том	2	11
21	в том	3	11
22	философии и	1	11
23	и то	1	10
24	он не	2	10
25	как мы	4	9
26	никогда не	2	9
27	в конце	1	9
28	только в	4	9
29	даже и	1	9
30	в течение	1	9
31	а в	3	9
32	и по	2	8
33	так как	4	8
34	мы сейчас	1	7
35	мы уже	2	7
36	как это	3	7
37	и его	8	7
38	для него	6	7
39	о нем	1	7
40	уже в	1	7
41	как раз	1	7
42	сказать что	7	7
43	того же	2	6
44	то же	2	6
45	и к	6	6
46	свое время	1	6
47	это было	1	6
48	иной раз	1	6
49	у нас	1	6
50	и сам	1	6
51	так и	4	6
52	и что	1	6
53	его жизни	1	6
54	можно сказать	4	6
55	в качестве	1	6
56	может быть	17	6
57	на этот	1	6
58	и потому	3	6
59	не может	8	6
60	к этому	2	6
61	не был	1	5
62	но как	2	5
63	когда он	1	5
64	что и	2	5
65	вовсе не	1	5
66	а с	1	5
67	что же	1	5
68	все это	4	5
69	с ним	2	5
70	в период	1	5
71	в свое	2	5
72	жизни и	3	5
73	в своих	1	5
74	я не	1	4
75	мы и	1	4
76	что его	1	4
77	совсем не	2	4
78	в этой	4	4
79	хотя и	1	4
80	и как	3	4
81	шопенгауэра и	1	4
82	в этот	2	4
83	в нашем	1	4
84	как он	1	4
85	в нем	4	4
86	главным образом	1	4
87	этом смысле	3	4
88	как и	2	4
89	несмотря на	1	4
90	еще в	1	4
91	в своей	2	4
92	мысли и	4	4
93	и вообще	2	4
94	дело в	1	4
95	во всем	1	4
96	к нему	1	4
97	один из	2	4
98	себя в	1	4
99	и теперь	3	4
100	для меня	2	4
101	что для	1	4
102	и все	4	4
103	и особенно	1	4
104	для нас	2	4
105	и через	2	3
106	и на	4	3
107	но не	1	3
108	в общем	3	3
109	отношение к	5	3
110	за пределы	2	3
111	что они	1	3
112	отнюдь не	4	3
113	все же	1	3
114	все эти	5	3
115	едва ли	3	3
116	и вот	3	3
117	на его	1	3
118	чувства к	1	3
119	всю жизнь	2	3
120	во время	3	3
121	но это	2	3
122	в науке	2	3
123	и притом	3	3
124	и всегда	1	3
125	ничего не	1	3
126	всей жизни	2	3
127	таким образом	9	3
128	к тому	1	3
129	в жизни	2	3
130	и здесь	1	3
131	человека как	1	3
132	тот же	1	3
133	мы увидим	1	3
134	и действительно	2	3
135	и так	2	3
136	уже не	1	3
137	только на	3	3
138	с этими	1	3
139	с другой	1	3
140	он даже	1	3
141	в связи	1	3
142	вместе с	3	3
143	по своему	2	3
144	в начале	2	3
145	тех же	3	2
146	это и	1	2
147	по его	1	2
148	той же	1	2
149	хотя бы	4	2
150	но даже	1	2
151	еще не	5	2
152	первый план	1	2
153	знаем что	2	2
154	в чем	5	2
155	нет и	2	2
156	в свои	1	2
157	некоторое время	1	2
158	всей этой	1	2
159	его к	1	2
160	конечно не	6	2
161	из этих	2	2
162	учение о	3	2
163	всей его	1	2
164	что она	1	2
165	при этом	6	2
166	время и	1	2
167	и еще	1	2
168	на этом	3	2
169	от нее	1	2
170	лишь в	1	2
171	было бы	2	2
172	в свой	1	2
173	веры и	1	2
174	кажется что	2	2
175	ни в	5	2
176	в них	2	2
177	были в	1	2
178	с тем	1	2
179	на первый	2	2
180	точки зрения	8	2
181	что такое	5	2
182	это делает	2	2
183	почти не	2	2
184	что я	1	2
185	значение для	1	2
186	выше мы	1	2
187	не будем	1	2
188	в философии	1	2
189	на всю	1	2
190	и почти	1	2
191	не менее	2	2
192	к изучению	1	2
193	того чтобы	1	2
194	наука и	1	2
195	всего на	1	2
196	очень мало	1	2
197	уже и	1	2
198	что на	2	2
199	в каком	2	2
200	у меня	1	2
201	в момент	1	2
202	со стороны	1	2
203	для его	1	2
204	и такие	1	2
205	для того	1	2
206	на это	1	2
207	году в	1	2
208	и о	2	2
209	это мы	1	2
210	часто и	1	2
211	не существовало	2	2
212	на все	1	2
213	году и	1	2
214	но мы	4	2
215	в которую	1	2
216	и можно	1	2
217	этот момент	1	2
218	того в	1	2
219	и мы	2	2
220	с ними	4	2
221	всяком случае	3	2
222	никак нельзя	1	2
223	философии но	1	2
224	то и	1	2
225	и философии	1	2
226	а это	1	2
227	и других	2	2
228	мы знаем	3	2
229	даже не	3	2
230	только что	1	2
231	именно так	1	2
232	с которым	1	2
233	что мы	2	2
234	жизнь в	1	2
235	чем не	3	2
236	к себе	3	2
237	где же	1	2
238	он будет	1	2
239	несколько слов	1	2
240	своей жизни	2	2
241	о его	1	2
242	этом и	1	2
243	под названием	1	2
244	и для	2	2
245	особого рода	1	2
246	и ни	1	2
247	мы должны	1	2
248	но зато	2	2
249	на такой	1	2
250	совершенно не	8	2
251	в самом	2	2
252	и это	6	2
253	в частности	2	2
254	как на	1	2
