N	2gram	Propp_Isto_3	formyVre
1	и в	22	46
2	в этом	17	22
3	и т	16	14
4	прежде всего	3	14
5	вовсе не	2	13
6	человеческого тела	1	12
7	и его	4	12
8	не только	14	11
9	только в	4	11
10	смерти в	3	11
11	как бы	1	10
12	во время	6	10
13	точки зрения	2	10
14	в том	9	10
15	но в	10	10
16	мы уже	6	9
17	не в	4	9
18	у него	3	9
19	но и	12	9
20	вместе с	9	9
21	и не	12	9
22	и для	2	9
23	то же	6	8
24	смерть и	2	8
25	как и	3	8
26	с точки	1	8
27	потому что	3	8
28	связи с	6	8
29	в его	3	8
30	из них	7	8
31	в связи	3	8
32	в основном	1	8
33	жизни и	2	8
34	и на	4	7
35	всех этих	2	7
36	так и	2	7
37	в них	6	7
38	может быть	11	7
39	времени в	1	7
40	в одном	2	7
41	то что	7	7
42	как мы	8	6
43	еще не	10	6
44	все же	5	6
45	при этом	2	6
46	человека в	1	6
47	и с	4	6
48	его в	3	6
49	никогда не	3	6
50	так как	7	6
51	в особенности	2	6
52	здесь в	1	6
53	все это	1	6
54	и все	3	6
55	но не	7	5
56	с этим	8	5
57	в своем	2	5
58	все эти	4	5
59	он не	5	5
60	в нем	9	5
61	в то	2	5
62	в дальнейшем	4	5
63	и у	3	5
64	тела и	1	5
65	и др	2	5
66	в частности	5	5
67	в пределах	4	5
68	что в	15	5
69	также и	1	4
70	человека и	1	4
71	в мире	1	4
72	и он	2	4
73	что они	8	4
74	как в	2	4
75	уже в	1	4
76	из этих	3	4
77	их в	3	4
78	и было	2	4
79	том что	8	4
80	в котором	2	4
81	героев и	1	4
82	уже говорили	1	4
83	к себе	1	4
84	в образе	1	4
85	с ним	1	4
86	о том	3	4
87	на острове	3	4
88	так что	5	4
89	конечно не	1	4
90	с другом	1	4
91	и их	1	4
92	а не	6	4
93	отнюдь не	1	4
94	друг с	1	4
95	с этой	1	4
96	еще более	2	4
97	же в	2	4
98	есть и	5	4
99	на свет	1	4
100	здесь еще	1	3
101	нас это	1	3
102	мы еще	3	3
103	другой пример	1	3
104	мы будем	1	3
105	отношение к	4	3
106	нет и	1	3
107	хотя и	2	3
108	целый ряд	3	3
109	и как	3	3
110	в этот	2	3
111	уже не	7	3
112	в большинстве	1	3
113	имеем в	4	3
114	т д	15	3
115	и по	1	3
116	таким образом	10	3
117	здесь мы	5	3
118	а затем	3	3
119	связанных с	2	3
120	по всему	1	3
121	в которых	2	3
122	что было	2	3
123	не могли	1	3
124	как можно	1	3
125	кроме того	1	3
126	к тому	3	3
127	себя и	1	3
128	роль в	2	3
129	в другом	2	3
130	а также	2	3
131	как у	1	3
132	что и	9	3
133	того что	5	3
134	тот же	1	3
135	что он	9	3
136	дана в	1	3
137	все они	1	3
138	в качестве	2	3
139	и они	4	3
140	за счет	2	3
141	большинстве случаев	2	3
142	тем что	4	3
143	что на	4	3
