N	2gram	Bakhtin_sl_2	VLabPisa
1	таким образом	8	27
2	в этом	16	26
3	и в	39	25
4	и т	35	24
5	не только	24	22
6	творческого процесса	1	22
7	может быть	37	21
8	хотя бы	3	20
9	и не	22	19
10	не может	20	17
11	т д	2	15
12	в его	7	15
13	в процессе	13	14
14	этом отношении	3	13
15	в том	5	13
16	прежде всего	8	13
17	в частности	1	12
18	как это	3	12
19	все это	16	12
20	с другой	5	11
21	в качестве	1	10
22	не могут	5	10
23	о том	2	10
24	то же	4	9
25	что в	3	9
26	об этом	1	9
27	для него	7	9
28	т п	33	9
29	но и	21	9
30	и др	4	9
31	к этому	1	9
32	в своем	6	8
33	все эти	6	8
34	на основании	1	8
35	другой стороны	1	8
36	могут быть	7	8
37	говорит и	2	8
38	во всех	12	7
39	по отношению	4	7
40	как и	6	7
41	том что	5	7
42	произведения в	1	7
43	говорит о	1	7
44	не было	2	7
45	а не	14	7
46	вместе с	2	7
47	же в	1	7
48	отношению к	4	7
49	это и	2	6
50	в зависимости	4	6
51	более или	2	6
52	в себе	2	6
53	в нем	19	6
54	это не	5	6
55	или менее	2	6
56	и его	33	6
57	в то	4	6
58	так и	15	6
59	между тем	3	6
60	бы и	3	6
61	у него	3	6
62	в основном	4	6
63	то что	2	6
64	одним из	2	5
65	и есть	1	5
66	в их	2	5
67	зависимости от	4	5
68	все же	6	5
69	в пределах	13	5
70	в плане	5	5
71	и при	2	5
72	не в	9	5
73	же время	4	5
74	связи с	3	5
75	приводит к	1	5
76	один из	5	5
77	действующих лиц	2	5
78	процессе работы	1	5
79	он говорит	1	5
80	как бы	7	5
81	не является	1	5
82	в результате	2	5
83	сказать что	3	5
84	только в	5	5
85	с его	7	4
86	в этой	1	4
87	чем же	1	4
88	перед нами	3	4
89	в самом	1	4
90	в целом	1	4
91	них не	1	4
92	художественный образ	4	4
93	в них	6	4
94	даже в	2	4
95	одна из	4	4
96	никогда не	7	4
97	утверждать что	1	4
98	должен быть	2	4
99	можно сказать	1	4
100	с ними	5	4
101	что он	2	4
102	в одном	2	4
103	как раз	1	4
104	в связи	2	4
105	в романе	46	4
106	в своей	1	4
107	например в	5	3
108	человека и	3	3
109	его не	4	3
110	видели что	1	3
111	но как	2	3
112	с этим	2	3
113	и как	3	3
114	и к	6	3
115	и художественного	1	3
116	всех этих	4	3
117	и по	1	3
118	данного автора	2	3
119	говорить не	1	3
120	его в	4	3
121	далеко не	2	3
122	что не	1	3
123	в слове	6	3
124	мы видели	2	3
125	точки зрения	8	3
126	и ее	1	3
127	как о	2	3
128	со своим	9	3
129	не столь	1	3
130	и отдельных	1	3
131	она не	6	3
132	образом в	1	3
133	в виду	1	3
134	никак не	1	3
135	в значительной	6	3
136	что и	3	3
137	и мир	4	3
138	того что	1	3
139	большей или	1	3
140	или меньшей	1	3
141	п в	2	3
142	и их	5	3
143	даже и	4	3
144	момент в	1	3
145	в конце	1	3
146	этой проблемы	1	3
147	именно в	2	3
148	можно утверждать	1	3
149	этого типа	1	3
150	всех других	1	3
151	толстого в	1	3
152	и от	3	3
153	или в	2	3
154	жизни и	6	3
155	смысле слова	1	2
156	как известно	1	2
157	ту же	3	2
158	также и	2	2
159	он может	1	2
160	и этот	1	2
161	а как	1	2
162	часто не	1	2
163	говорить о	3	2
164	до полного	1	2
165	так называемые	1	2
166	подчеркнуть что	2	2
167	в ней	3	2
168	еще не	7	2
169	например у	2	2
170	что его	1	2
171	в различных	2	2
172	в чем	3	2
173	но не	6	2
174	том числе	1	2
175	отнюдь не	1	2
176	стороны и	3	2
177	и слова	5	2
178	хотя и	2	2
179	но в	6	2
180	с нею	1	2
181	не приходится	3	2
182	он в	1	2
183	ее как	1	2
184	как он	2	2
185	этот процесс	1	2
186	что она	1	2
187	он не	2	2
188	над романом	1	2
189	у пушкина	1	2
190	человека в	5	2
191	в каждом	1	2
192	и дальше	3	2
193	в другом	2	2
194	с другими	4	2
195	как особый	2	2
196	и отдельные	1	2
197	только о	2	2
198	достоевского и	1	2
199	не всегда	2	2
200	и для	5	2
201	пародия на	1	2
202	что такое	1	2
203	всяком случае	2	2
204	не столько	3	2
205	от его	1	2
206	которые в	2	2
207	как от	1	2
208	по себе	5	2
209	не менее	4	2
210	тогда когда	2	2
211	того чтобы	2	2
212	только не	1	2
213	в сознании	1	2
214	точном смысле	2	2
215	в области	2	2
216	в образах	1	2
217	нет ни	1	2
218	отличается от	2	2
219	числе и	1	2
220	что оно	4	2
221	для того	2	2
222	что при	1	2
223	его художественного	2	2
224	и может	1	2
225	роль в	2	2
226	мы наблюдаем	2	2
227	если они	1	2
228	он сам	1	2
229	и даже	7	2
230	во всяком	3	2
231	лишь в	3	2
232	может не	2	2
233	из себя	3	2
234	во всей	1	2
235	вообще и	1	2
236	единого и	2	2
237	как пародия	1	2
238	об образе	1	2
239	до нас	1	2
240	всех его	3	2
241	с одной	5	2
242	одной из	1	2
243	слова не	4	2
244	вовсе не	10	2
245	к ним	1	2
246	не о	1	2
247	много и	1	2
248	эти явления	1	2
249	в особенности	3	2
250	одной стороны	5	2
251	или иной	5	2
252	даже не	1	2
253	до сих	2	2
254	как у	1	2
255	и образов	1	2
256	к сожалению	1	2
257	зависит от	1	2
258	и непосредственно	2	2
259	от характера	2	2
260	и потому	7	2
261	как например	2	2
262	сих пор	2	2
263	того или	1	2
264	этом и	1	2
265	вне его	2	2
