N	2gram	Trubetskoy_1	Dialekti
1	не есть	3	47
2	и не	19	30
3	это –	1	23
4	может быть	9	20
5	не только	9	19
6	и в	14	19
7	по себе	2	18
8	и т	3	17
9	а не	2	16
10	в себе	9	15
11	потому что	5	14
12	то что	13	14
13	в том	17	14
14	так как	4	14
15	и даже	2	14
16	как бы	4	14
17	вовсе не	1	13
18	то же	11	12
19	точки зрения	11	12
20	не просто	2	12
21	но и	10	12
22	и все	1	12
23	и как	3	10
24	что это	3	10
25	в нем	5	10
26	ни в	2	10
27	как и	4	10
28	том что	9	10
29	стало быть	1	10
30	так и	1	10
31	это не	1	10
32	по крайней	1	9
33	никогда не	5	9
34	крайней мере	1	9
35	же и	1	9
36	не может	22	9
37	– не	2	9
38	мы уже	2	8
39	в этом	17	8
40	в своей	5	8
41	с точки	9	8
42	не в	4	8
43	она не	2	8
44	прежде всего	8	8
45	это есть	2	8
46	и то	4	7
47	есть не	1	7
48	сама по	2	7
49	так что	2	7
50	и к	6	7
51	должно быть	3	7
52	как это	1	7
53	только тогда	1	7
54	как будто	2	7
55	совершенно не	2	7
56	но это	2	7
57	что в	4	7
58	но не	4	6
59	что они	3	6
60	отнюдь не	7	6
61	тогда когда	4	6
62	в то	10	6
63	что он	6	6
64	конечно не	5	6
65	что не	1	6
66	того что	3	6
67	да и	3	6
68	личности и	1	6
69	есть и	2	6
70	жизни и	4	6
71	и потому	3	5
72	и это	1	5
73	должна быть	2	5
74	говорить о	3	5
75	в силу	2	5
76	в одну	1	5
77	все равно	1	5
78	же время	10	5
79	и с	7	5
80	о том	7	5
81	и что	2	5
82	можно сказать	1	5
83	но как	1	5
84	что и	3	5
85	с другой	1	5
86	в одно	1	5
87	по своему	1	5
88	в самом	3	5
89	только в	5	5
90	и есть	2	4
91	еще не	3	4
92	самом деле	7	4
93	в одной	1	4
94	в своем	6	4
95	все же	4	4
96	только то	1	4
97	и если	7	4
98	при этом	5	4
99	он не	5	4
100	же это	1	4
101	и вот	2	4
102	– от	1	4
103	и по	3	4
104	таким образом	11	4
105	заключается в	1	4
106	нисколько не	2	4
107	все это	6	4
108	с ним	2	4
109	по своей	1	4
110	связи с	3	4
111	в таком	2	4
112	не могут	4	4
113	есть только	1	4
114	это конечно	1	4
115	что оно	3	4
116	той или	3	4
117	без всякого	1	4
118	в ее	1	4
119	и когда	1	4
120	ясно что	2	4
121	в другом	3	4
122	может не	3	4
123	к нему	2	4
124	и только	5	4
125	интеллигенции и	1	4
126	от того	4	4
127	в связи	1	4
128	в меру	2	4
129	могут быть	1	4
130	быть и	2	4
131	хотя бы	5	4
132	а в	5	4
133	же как	1	3
134	искусство и	1	3
135	это и	1	3
136	как мы	1	3
137	вопрос о	5	3
138	оно есть	1	3
139	иное как	1	3
140	а только	1	3
141	себе и	4	3
142	время но	1	3
143	в этой	4	3
144	с этим	2	3
145	от этого	1	3
146	есть самое	1	3
147	всех этих	3	3
148	есть та	1	3
149	об этом	1	3
150	его в	4	3
151	чтобы все	1	3
152	и мы	1	3
153	было бы	5	3
154	уже знаем	1	3
155	в один	1	3
156	и тогда	2	3
157	в этих	2	3
158	что такое	2	3
159	и более	2	3
160	даже в	1	3
161	можно ли	3	3
162	не менее	1	3
163	– мы	1	3
164	в разных	1	3
165	хочет быть	1	3
166	как только	1	3
167	должны быть	1	3
168	но только	1	3
169	и религии	1	3
170	это только	2	3
171	уже не	2	3
172	может иметь	1	3
173	он есть	1	3
174	же мы	1	3
175	с нею	3	3
176	из них	3	3
177	бы это	1	3
178	о котором	3	3
179	как же	1	3
180	и их	1	3
181	не было	3	3
182	сейчас же	1	3
183	нет ни	1	3
184	в данном	7	3
185	и от	2	3
186	это как	1	3
187	понимать как	1	3
188	была бы	1	3
189	они не	1	3
190	также и	1	2
191	в сфере	1	2
192	на самом	6	2
193	он может	1	2
194	тем же	1	2
195	он всегда	1	2
