N	2gram	Bakhtin_fo_1	Sotsiolo
1	все это	4	7
2	в этом	25	5
3	в том	9	5
4	для нас	2	3
5	не только	9	3
6	в его	13	3
7	и в	50	3
8	не в	5	3
9	и только	1	3
10	только в	4	2
11	их между	1	2
12	может быть	11	2
13	по природе	2	2
14	в результате	6	2
15	главным образом	1	2
16	то же	11	2
17	было бы	2	2
18	она может	1	2
19	далеко не	2	2
20	ведь это	1	2
21	таким образом	11	2
22	но и	8	2
23	тем более	1	2
24	еще не	5	2
25	то что	6	2
26	или даже	1	2
27	по отношению	3	2
28	в частности	6	2
29	отношению к	5	2
30	по существу	12	2
31	как только	1	2
32	в конце	9	2
33	что в	5	2
34	как бы	2	2
35	том что	4	2
36	дело не	1	2
37	изучения и	1	1
38	и не	14	1
39	в мире	1	1
40	свойств и	1	1
41	и есть	1	1
42	в этой	1	1
43	для изучения	1	1
44	в процессе	4	1
45	в своей	2	1
46	в свои	1	1
47	бы в	1	1
48	еще и	2	1
49	по себе	2	1
50	все эти	9	1
51	и его	16	1
52	в целом	2	1
53	с другой	2	1
54	в сущности	3	1
55	ровно ничего	1	1
56	в те	1	1
57	связи с	6	1
58	на ней	1	1
59	в них	4	1
60	в связи	5	1
61	что он	1	1
62	тем же	1	1
63	что все	2	1
64	он ни	1	1
65	не было	7	1
66	в каждом	1	1
67	для наших	1	1
68	на отдельные	1	1
69	образом в	1	1
70	когда мы	1	1
71	но не	5	1
72	два или	1	1
73	мы понимаем	1	1
74	характера это	1	1
75	и более	1	1
76	но она	2	1
77	вовсе не	13	1
78	все же	6	1
79	на следующий	2	1
80	но как	1	1
81	вопросом о	1	1
82	а в	3	1
83	обходится без	1	1
84	бы он	1	1
85	новое и	2	1
86	это не	6	1
87	в то	9	1
88	те же	2	1
89	между собою	1	1
90	не меняет	1	1
91	мы должны	2	1
92	между ними	3	1
93	конечно не	4	1
94	и наконец	1	1
95	в чем	2	1
96	литературе мы	1	1
97	на первый	1	1
98	писатель как	1	1
99	никогда не	2	1
100	во всяком	3	1
101	в котором	4	1
102	в него	1	1
103	отнюдь не	5	1
104	единства и	2	1
105	в этих	3	1
106	наконец в	1	1
107	у него	6	1
108	как и	8	1
109	с помощью	2	1
110	психологии и	1	1
111	с ним	2	1
112	место в	2	1
113	первый план	1	1
114	мы еще	3	1
115	один из	3	1
116	из себя	1	1
117	в строгом	2	1
118	внутреннего единства	1	1
119	этого и	1	1
120	и как	10	1
121	сама по	1	1
122	его в	3	1
123	с одной	3	1
124	быть для	1	1
125	о том	1	1
126	тотчас же	1	1
127	одной стороны	2	1
128	вступает в	2	1
129	не без	2	1
130	связь между	2	1
131	и потому	3	1
132	хотя бы	2	1
133	слова но	1	1
134	свои права	1	1
135	в таких	1	1
136	время в	6	1
137	и по	2	1
138	себя по	1	1
139	ничего не	9	1
140	все то	2	1
141	что это	1	1
142	между собой	4	1
143	мы не	3	1
144	я и	1	1
145	не может	6	1
146	тех кто	1	1
147	же время	9	1
148	два типа	1	1
149	даже не	2	1
150	прежде всего	15	1
151	они не	3	1
152	по самому	2	1
153	социальной группой	1	1
154	всяком случае	1	1
155	или не	2	1
156	не место	2	1
157	тем что	2	1
158	так и	12	1
159	в данном	2	1
160	именно в	3	1
161	перед нами	1	1
