N	3gram	Trubetskoy_1	VrazhdaK
1	и все же	1	5
2	то же время	2	4
3	в то же	2	4
4	в связи с	3	3
5	с точки зрения	6	2
6	но в то	1	2
7	не может быть	1	2
8	в том что	3	2
9	а между тем	1	1
10	а следовательно и	1	1
11	в котором он	1	1
12	а с точки	1	1
13	в соответствии с	1	1
14	целым рядом деталей	1	1
15	до сих пор	5	1
16	отличается не только	1	1
17	в этом отношении	2	1
18	за тем чтобы	1	1
19	в этот период	1	1
20	точно так же	3	1
21	с тех пор	2	1
22	но и как	1	1
23	по крайней мере	5	1
24	может быть и	2	1
25	и в то	1	1
26	о том как	1	1
27	так же как	3	1
28	и что он	1	1
29	в конце концов	3	1
30	но при этом	1	1
31	и в этом	2	1
32	или по крайней	1	1
33	а с другой	5	1
34	не только как	1	1
35	во всяком случае	6	1
36	и даже некоторые	1	1
37	мы знаем о	1	1
38	с другой стороны	1	1
39	как бы в	1	1
40	тем не менее	3	1
41	у него в	1	1
42	что в этой	1	1
43	в то время	1	1
44	в свою очередь	1	1
45	это и есть	1	1
46	о том что	4	1
47	и никогда не	1	1
48	не только не	1	1
49	на этот раз	1	1
50	он как бы	1	1
51	но и от	1	1
52	на то что	2	1
53	на первое место	1	1
54	был похож на	1	1
55	не только от	1	1
56	речь идет о	1	1
