N	3gram	Losev_Dial_4	Marksizm
1	с точки зрения	9	20
2	не может быть	6	13
3	и не может	1	9
4	в связи с	1	7
5	в отличие от	1	5
6	с другой стороны	1	5
7	в отношении к	1	4
8	вполне понятно что	1	3
9	в этом случае	1	3
10	в конце концов	1	3
11	то же время	6	3
12	связи с этим	1	3
13	но все же	1	3
14	можно сказать что	1	3
15	в то же	6	3
16	для того чтобы	5	3
17	в том что	9	3
18	теперь мы должны	1	2
19	– все это	1	2
20	же как и	1	2
21	в данный момент	2	2
22	в чем же	2	2
23	и той же	3	2
24	на первый план	1	2
25	как и все	2	2
26	сама по себе	5	2
27	на самом же	1	2
28	и этот момент	1	2
29	но в то	2	2
30	вопрос о том	1	2
31	одной и той	3	2
32	от того что	2	2
33	в свою очередь	2	2
34	это и есть	4	2
35	и прежде всего	1	2
36	в нем нет	1	2
37	самом же деле	1	2
38	в этом смысле	4	2
39	тем не менее	2	2
40	ничего общего с	2	2
41	знания и даже	1	1
42	и в сущности	1	1
43	же может быть	1	1
44	неотделим от нее	1	1
45	тот же самый	1	1
46	как только мы	2	1
47	и пр но	1	1
48	прежде всего в	1	1
49	равно как и	2	1
50	подобно тому как	4	1
51	есть прежде всего	3	1
52	ни о какой	1	1
53	как бы ни	1	1
54	и неотделим от	1	1
55	момент – в	2	1
56	приходится говорить об	1	1
57	никогда не будет	1	1
58	все остальное –	1	1
59	переход от одного	1	1
60	с другими типами	1	1
61	хотя бы и	2	1
62	мы переходим к	1	1
63	не было бы	1	1
64	в себе и	1	1
65	возможно лишь в	1	1
66	рано или поздно	1	1
67	нет ничего что	1	1
68	в основе своей	1	1
69	ничего не имеет	1	1
70	может быть только	1	1
71	с этой точки	2	1
72	в меру своей	1	1
73	и вовсе не	1	1
74	к жизни и	1	1
75	ту или иную	2	1
76	так или иначе	1	1
77	с ними как	1	1
78	а не только	1	1
79	в нашем случае	1	1
80	лежит в основе	3	1
81	не имеет никакой	1	1
82	ничего общего не	2	1
83	но теперь мы	1	1
84	как и между	1	1
85	зрения она не	1	1
86	и как бы	1	1
87	по природе своей	1	1
88	в каком же	1	1
89	и та же	1	1
90	одна и та	1	1
91	а не в	1	1
92	как же может	1	1
93	не имеет общего	1	1
94	вовсе не в	2	1
95	всей нашей работы	1	1
96	его жизни и	1	1
97	само по себе	4	1
98	имеет общего с	1	1
99	этой точки зрения	2	1
100	с тем что	1	1
101	это значит что	7	1
102	не только не	1	1
103	и во всякой	1	1
104	ни о каком	1	1
105	не только в	1	1
106	может быть выражено	1	1
107	друг от друга	1	1
108	точки зрения она	1	1
109	имеется в виду	3	1
110	кроме того в	1	1
111	допустим что мы	1	1
112	в особенности же	1	1
113	и пр –	1	1
114	здесь говорить о	1	1
115	от нее это	1	1
116	может быть в	1	1
117	для этого необходимо	1	1
118	той или иной	1	1
