N	2gram	Nazirov_Tr_1	StatiiOP
1	бориса годунова	1	74
2	и в	18	29
3	том что	4	27
4	в том	2	27
5	в этом	9	21
6	не только	8	19
7	но и	4	19
8	что в	4	19
9	о том	2	17
10	в трагедии	1	17
11	в и	1	13
12	в его	3	13
13	что он	6	13
14	свою трагедию	1	12
15	в которой	1	11
16	то что	4	11
17	все это	4	11
18	таким образом	1	10
19	к тому	2	10
20	т е	1	10
21	и т	1	9
22	в своем	3	9
23	он не	2	9
24	пушкина и	1	9
25	потому что	2	9
26	так и	5	9
27	и не	7	9
28	но в	6	8
29	по поводу	2	8
30	я не	4	7
31	в сцене	1	7
32	в ней	1	7
33	в самом	2	7
34	но все	2	7
35	в своей	1	7
36	в котором	1	7
37	не столько	1	7
38	тому что	1	7
39	того как	1	7
40	в виду	1	7
41	с тем	2	7
42	вместе с	1	7
43	одним из	1	6
44	вопрос о	2	6
45	и на	7	6
46	все же	5	6
47	факт что	1	6
48	годунова и	1	6
49	того чтобы	1	6
50	и его	6	6
51	об этом	4	6
52	и что	4	6
53	в одном	2	6
54	того что	1	5
55	между тем	1	5
56	своего рода	3	5
57	прежде всего	4	5
58	а не	1	5
59	о чем	3	5
60	в той	1	5
61	как бы	7	5
62	если б	2	4
63	по словам	2	4
64	в нем	4	4
65	в другом	1	4
66	и с	7	4
67	не в	2	4
68	ничего не	2	4
69	и о	1	4
70	после того	1	4
71	связи с	1	4
72	для него	3	4
73	именно в	1	4
74	в частности	2	4
75	а как	2	4
76	в романе	10	4
77	вряд ли	2	3
78	например в	1	3
79	самом деле	1	3
80	в году	9	3
81	хотя бы	1	3
82	подчеркнуть что	1	3
83	и он	3	3
84	не был	2	3
85	но не	1	3
86	могло быть	1	3
87	в общем	1	3
88	как в	3	3
89	не было	1	3
90	из книги	1	3
91	что это	5	3
92	вообще не	1	3
93	в россии	1	3
94	ни в	2	3
95	не мог	2	3
96	одном из	2	3
97	но он	1	3
98	по себе	1	3
99	не менее	1	3
100	что эта	1	3
101	в обоих	1	3
102	самого начала	1	3
103	что ему	1	3
104	никогда не	2	3
105	на себя	1	3
106	и по	1	3
107	тем что	2	3
108	с самого	1	3
109	в образе	6	3
110	на нее	1	3
111	за то	1	3
112	и здесь	2	3
113	на вопрос	1	3
114	как у	2	3
115	но это	4	3
116	вот что	1	3
117	так что	2	3
118	всяком случае	1	3
119	т п	1	3
120	что на	1	3
121	и даже	4	3
122	до конца	2	3
123	так же	4	3
124	xix века	1	3
125	не является	1	3
126	во всяком	1	3
127	смысл этого	1	2
128	то же	5	2
129	в письмах	2	2
130	с его	2	2
131	и который	1	2
132	тогда как	1	2
133	в комментариях	1	2
134	отличие от	2	2
135	к сожалению	1	2
136	и я	2	2
137	в истории	1	2
138	и как	3	2
139	все эти	3	2
140	в этой	4	2
141	поэмы пушкина	1	2
142	в себе	4	2
143	этого образа	1	2
144	как он	1	2
145	при этом	3	2
146	тем не	1	2
147	не к	1	2
148	что писал	1	2
149	а затем	1	2
150	конечно в	1	2
151	не нашел	1	2
152	его в	2	2
153	это было	1	2
154	в это	2	2
155	борьбе за	1	2
156	как и	5	2
157	несмотря на	5	2
158	к истории	1	2
159	в отличие	2	2
160	что я	4	2
161	не раз	1	2
162	борьбу с	1	2
163	не могли	1	2
164	что этот	2	2
165	но они	2	2
166	xviii века	1	2
167	что с	3	2
168	в то	5	2
169	не имеет	2	2
170	только не	1	2
171	и всегда	1	2
172	и теперь	1	2
173	не может	5	2
174	в области	1	2
175	например что	1	2
176	в духе	1	2
177	трагедию с	1	2
178	где он	1	2
179	и это	2	2
180	в ее	2	2
181	и сам	3	2
182	во многом	1	2
183	еще в	2	2
184	он был	2	2
