N	3gram	Tiupa_Anal_3	Psycholo
1	в том что	7	9
2	не может быть	1	8
3	в самом деле	1	7
4	в том чтобы	1	7
5	о том что	5	7
6	во всяком случае	2	6
7	заключается в том	1	6
8	в зависимости от	1	5
9	не в том	1	5
10	само по себе	1	5
11	подобно тому как	2	5
12	с другой стороны	5	5
13	с одной стороны	2	5
14	для того чтобы	1	5
15	как и в	4	4
16	и той же	2	3
17	до сих пор	1	3
18	в отличие от	2	3
19	в сущности говоря	1	3
20	одной и той	2	3
21	не только не	3	3
22	в конечном счете	2	3
23	хотя и не	1	2
24	в этом смысле	1	2
25	с точки зрения	2	2
26	в произведении искусства	1	2
27	в таком случае	1	2
28	тем или иным	2	2
29	в этом отношении	3	2
30	со всеми остальными	1	2
31	в применении к	1	2
32	в противоречие с	1	2
33	том что мы	1	2
34	а в том	2	2
35	так и в	1	2
36	в одном из	1	2
37	то есть в	1	2
38	совершенно очевидно что	2	2
39	сама по себе	2	2
40	на самом деле	1	2
41	тем не менее	2	2
42	что и в	1	2
43	по себе а	1	2
44	и в сущности	1	1
45	и того же	3	1
46	отнюдь не обладает	1	1
47	иметь дело с	2	1
48	одном из двух	1	1
49	в основе своей	1	1
50	что могло бы	1	1
51	мы имеем дело	4	1
52	уже не может	1	1
53	дело в том	2	1
54	и в особенности	1	1
55	может быть признано	1	1
56	том что он	2	1
57	конечно нуждается в	1	1
58	роль в лирическом	1	1
59	не растворяясь в	1	1
60	к этому что	1	1
61	при этом он	2	1
62	определяющую роль в	1	1
63	отнюдь не является	1	1
64	и не всегда	1	1
65	ту или иную	1	1
66	но в таком	1	1
67	едва ли не	2	1
68	в первом случае	1	1
69	между тем как	1	1
70	не только в	1	1
71	в себя и	1	1
72	в известном смысле	1	1
73	подход к изучению	1	1
74	не могут быть	1	1
75	совпадают с теми	1	1
76	дело не в	1	1
77	и каждое из	1	1
78	прибавим к этому	1	1
79	в связи с	1	1
80	все что мы	1	1
81	как бы в	1	1
82	в полной мере	1	1
83	речь идет о	1	1
84	один и тот	1	1
85	что они хотят	1	1
86	как и утверждение	1	1
87	произведения но и	1	1
88	в тех случаях	1	1
89	нет никакой возможности	1	1
90	до тех пор	1	1
91	в свою очередь	4	1
92	как нельзя лучше	1	1
93	автору и читателю	1	1
94	вопрос о том	1	1
95	мы знаем о	1	1
96	том что по	2	1
97	что иное как	1	1
98	можно сказать что	2	1
99	одного и того	3	1
100	мы обратимся к	1	1
101	в готовом виде	1	1
102	и по поводу	1	1
103	было бы сказать	1	1
104	в сущности не	1	1
105	не что иное	1	1
106	оставляем в стороне	1	1
107	именно потому что	1	1
108	к тому же	3	1
109	и тот же	1	1
110	эстетических отношений и	1	1
