N	2gram	Trubetskoy_1	EvropaiC
1	таким образом	22	32
2	в том	11	31
3	и в	26	24
4	культурных ценностей	4	20
5	том что	7	20
6	все эти	6	19
7	не может	4	18
8	то что	7	17
9	все же	6	15
10	может быть	10	15
11	народа в	1	15
12	к культуре	2	14
13	точки зрения	13	13
14	в этом	15	12
15	сих пор	5	12
16	самом деле	1	12
17	до сих	5	12
18	в своем	3	12
19	между тем	2	11
20	с этим	1	11
21	все это	6	11
22	из себя	2	10
23	отношению к	3	10
24	так и	6	10
25	во всех	2	10
26	культуры и	3	10
27	по отношению	1	10
28	культуры в	1	10
29	мы знаем	1	10
30	все что	2	10
31	как бы	12	10
32	как и	1	9
33	на то	2	9
34	того же	6	9
35	друг с	5	9
36	европейской цивилизации	1	9
37	что в	9	9
38	с другом	5	9
39	при этом	3	9
40	в результате	3	9
41	так же	5	8
42	и все	2	8
43	земного шара	1	8
44	не в	2	8
45	идет речь	1	8
46	если бы	3	8
47	а и	1	8
48	ясно что	3	8
49	чем у	1	8
50	в самом	4	8
51	с точки	6	8
52	касается до	1	8
53	о которых	1	7
54	о том	6	7
55	о котором	2	7
56	для этого	2	7
57	не менее	3	7
58	по существу	2	7
59	того чтобы	5	7
60	а между	1	7
61	по своей	2	7
62	европейской культуры	3	7
63	к тому	6	7
64	и не	8	7
65	из этих	10	7
66	из этого	2	7
67	в силу	5	7
68	для того	5	7
69	но и	9	7
70	или менее	5	7
71	более или	5	7
72	и что	4	7
73	своей культуре	1	7
74	что он	4	7
75	еще не	2	6
76	тогда как	1	6
77	данного народа	1	6
78	в европе	1	6
79	отличается от	2	6
80	как на	8	6
81	в сознании	1	6
82	с ним	1	6
83	так что	3	6
84	вместе с	15	6
85	что касается	1	6
86	того что	3	6
87	и при	3	6
88	у них	3	6
89	только в	4	6
90	в этой	4	6
91	что и	6	6
92	и на	2	6
93	в мире	5	6
94	несмотря на	6	6
95	с другой	8	6
96	в общем	8	6
97	все они	1	6
98	мы можем	2	6
99	так как	9	6
100	в которой	3	5
101	в себе	6	5
102	по сравнению	2	5
103	сравнению с	2	5
104	и с	10	5
105	ничем не	4	5
106	и для	5	5
107	и их	1	5
108	народа к	1	5
109	что это	3	5
110	у него	1	5
111	его в	1	5
112	но все	7	5
113	к этому	3	5
114	потому что	7	5
115	и от	4	5
116	тому же	5	5
117	от культуры	1	5
118	на все	2	5
119	и к	5	5
120	в пользу	2	5
121	лишь в	5	5
122	в то	4	5
123	большею частью	2	5
124	что все	4	5
125	по своему	2	5
126	лишь только	1	5
127	другой стороны	1	5
128	в его	5	5
