N	3gram	Propp_Isto_5	Analitik
1	не может быть	3	16
2	в том что	2	9
3	в то же	1	8
4	в том чтобы	2	7
5	в отличие от	1	6
6	то же время	1	6
7	по отношению к	2	5
8	с точки зрения	1	4
9	о том что	4	3
10	состоит в том	1	3
11	а не в	1	3
12	подобно тому как	1	3
13	в том числе	1	3
14	из того что	1	3
15	для того чтобы	3	3
16	с одной стороны	7	3
17	не в том	1	3
18	при встрече с	1	2
19	это означает что	1	2
20	в самом деле	1	2
21	но и в	2	2
22	в данном случае	2	2
23	с другой стороны	8	2
24	как и его	1	1
25	все еще не	1	1
26	исключают друг друга	2	1
27	в соответствии с	1	1
28	о том как	2	1
29	можно утверждать что	1	1
30	только в том	1	1
31	до сих пор	2	1
32	в зависимости от	1	1
33	сам по себе	1	1
34	как мы увидим	3	1
35	по своему содержанию	1	1
36	для нас очень	1	1
37	состоит не в	1	1
38	том числе и	1	1
39	не сам по	1	1
40	с этой точки	1	1
41	вместе с тем	6	1
42	только для того	1	1
43	здесь мы имеем	3	1
44	обращает на себя	1	1
45	не только в	2	1
46	в свою очередь	1	1
47	что все люди	1	1
48	с ним и	1	1
49	во всяком случае	1	1
50	не исключают друг	2	1
51	этой точки зрения	1	1
52	а затем уже	1	1
53	все того же	1	1
54	и вместе с	2	1
55	но то что	1	1
56	на вопрос почему	1	1
57	и тем самым	1	1
58	только тогда когда	1	1
59	том что искусство	1	1
60	в связи с	4	1
61	и таким образом	2	1
62	вне всякого сомнения	1	1
63	друг с другом	2	1
64	дело не в	1	1
65	как и в	2	1
66	здесь как и	1	1
67	в мировом фольклоре	1	1
