N	2gram	Tiupa_Narr_2	Analitik
1	литературного произведения	1	41
2	в качестве	14	31
3	может быть	10	29
4	в том	14	27
5	не может	8	22
6	и не	14	21
7	в частности	11	19
8	и в	13	18
9	но и	15	17
10	а не	17	17
11	представляет собой	16	16
12	отнюдь не	4	15
13	не только	26	15
14	тогда как	15	14
15	не в	8	14
16	коммуникативного события	8	14
17	в этом	13	13
18	как и	4	13
19	в его	6	13
20	при этом	14	12
21	том что	13	12
22	текста в	1	12
23	в себе	8	11
24	то есть	9	11
25	состоит в	12	11
26	но не	3	10
27	художественного целого	1	10
28	то же	4	9
29	иначе говоря	7	9
30	в то	5	9
31	а в	9	9
32	есть не	1	8
33	в принципе	2	8
34	в мире	4	8
35	текста и	2	8
36	но в	6	8
37	в той	5	8
38	произведения как	1	7
39	тем самым	5	7
40	к тому	9	7
41	перед лицом	1	6
42	мы имеем	3	6
43	по отношению	5	6
44	отличие от	5	6
45	в самом	2	6
46	в случае	2	6
47	это не	3	6
48	далеко не	5	6
49	точки зрения	5	6
50	в своей	4	6
51	в отличие	5	6
52	в основе	1	6
53	по своей	3	6
54	той или	3	6
55	в себя	4	6
56	времени и	4	6
57	коммуникативное событие	6	6
58	же время	3	6
59	только в	11	6
60	себя в	2	6
61	то что	8	6
62	или иной	3	6
63	прежде всего	6	6
64	что иное	1	5
65	иное как	1	5
66	и как	1	5
67	в целом	3	5
68	в этой	4	5
69	внутренней речи	3	5
70	и его	3	5
71	имеет место	2	5
72	о том	5	5
73	сводится к	9	5
74	художественный текст	1	5
75	в тексте	8	5
76	и того	3	5
77	между тем	3	5
78	и т.п	6	5
79	воспринимающего сознания	1	5
80	такого рода	12	5
81	как бы	6	5
82	отношению к	5	5
83	и состоит	2	5
84	что в	4	5
85	того же	1	4
86	не что	1	4
87	всего лишь	6	4
88	столь же	2	4
89	более чем	2	4
90	все же	6	4
91	сознания в	1	4
92	тому же	4	4
93	не следует	3	4
94	не всегда	1	4
95	с точки	2	4
96	и другого	2	4
97	и более	2	4
98	и соответственно	1	4
99	имеем дело	2	4
100	в области	2	4
101	ни в	1	4
102	текста а	1	4
103	так и	9	4
104	не с	1	4
105	с ним	4	4
106	как правило	3	4
107	в другом	4	4
108	с другой	5	4
109	в конечном	3	4
110	того что	6	4
111	субъекта и	1	4
112	дело с	2	4
113	уже не	4	4
114	конечном счете	3	4
115	для того	1	4
116	с другим	2	4
117	именно в	2	4
118	вместе с	1	4
119	в литературе	4	4
120	исходя из	1	4
121	собственно говоря	2	4
122	и т	2	3
123	одним из	1	3
124	таком случае	1	3
125	мере в	2	3
126	между двумя	1	3
127	оказаться и	1	3
128	говоря и	1	3
129	место в	5	3
130	это всегда	1	3
131	в полной	1	3
132	в рамках	6	3
133	однако не	2	3
134	вступает в	2	3
135	и к	6	3
136	автора и	1	3
