N	4gram	Losev_Vesc_1	Psycholo
1	заключается в том что	1	4
2	одно и то же	4	3
3	не что иное как	7	2
4	одного и того же	1	2
5	когда она еще не	1	1
6	видим таким образом что	1	1
7	из того что мы	1	1
8	что они находятся в	1	1
9	в то время как	1	1
10	с этой точки зрения	1	1
11	мы видим таким образом	1	1
12	ни о чем не	1	1
13	решить вопрос о том	1	1
14	и в самом деле	1	1
15	с одной стороны и	1	1
16	дело в том что	2	1
17	но уже сейчас мы	1	1
18	сами по себе совершенно	1	1
19	не только то что	1	1
20	только в зависимости от	1	1
21	когда мы говорили о	1	1
