N	2gram	Berdyaev_M_1	EvropaiC
1	в том	6	31
2	и в	28	24
3	культурных ценностей	1	20
4	том что	3	20
5	все эти	2	19
6	не может	28	18
7	то что	5	17
8	может быть	30	15
9	все же	2	15
10	к культуре	1	14
11	точки зрения	4	13
12	самом деле	1	12
13	в своем	10	12
14	до сих	2	12
15	в этом	20	12
16	сих пор	2	12
17	с этим	3	11
18	между тем	1	11
19	все это	6	11
20	во всех	1	10
21	по отношению	2	10
22	культуры и	1	10
23	так и	1	10
24	из себя	1	10
25	как бы	2	10
26	отношению к	2	10
27	культуры в	1	10
28	все что	2	10
29	как и	5	9
30	что в	10	9
31	в самом	11	8
32	чем у	4	8
33	не в	16	8
34	если бы	2	8
35	так же	1	8
36	и все	10	8
37	на самом	1	7
38	в силу	1	7
39	европейской культуры	1	7
40	не менее	1	7
41	того чтобы	2	7
42	по своей	2	7
43	к тому	3	7
44	о том	2	7
45	и что	2	7
46	что он	10	7
47	для того	2	7
48	но и	25	7
49	и не	11	7
50	должна быть	6	6
51	начало и	1	6
52	еще не	1	6
53	и на	6	6
54	в этой	6	6
55	в мире	10	6
56	с ним	2	6
57	что и	4	6
58	того что	7	6
59	только в	6	6
60	так что	1	6
61	так как	3	6
62	вместе с	6	6
63	в европе	1	6
64	отличается от	2	6
65	между двумя	1	5
66	из всех	1	5
67	как к	1	5
68	и к	2	5
69	но в	7	5
70	в которой	6	5
71	в себе	7	5
72	не только	29	5
73	и с	3	5
74	на все	1	5
75	лишь в	6	5
76	его в	3	5
77	и без	1	5
78	и истории	1	5
79	в то	2	5
80	как будто	2	5
81	по сравнению	2	5
82	в его	9	5
83	потому что	16	5
84	и их	3	5
85	у него	17	5
86	по своему	2	5
87	сравнению с	1	5
88	быть и	1	5
89	и для	2	5
90	и от	2	5
91	случае если	1	5
92	к этому	2	5
93	одним из	2	4
94	в такой	1	4
95	и то	1	4
96	мы уже	1	4
97	та же	1	4
98	культуру и	1	4
99	отношение к	4	4
100	что как	1	4
101	он не	24	4
102	всех этих	1	4
103	том случае	1	4
104	должно быть	3	4
105	в их	4	4
106	оказывается что	2	4
107	никогда не	14	4
108	и у	2	4
109	не есть	9	4
110	не так	3	4
111	в конце	7	4
112	все-таки не	1	4
113	в области	1	4
114	конце концов	2	4
115	его собственной	2	4
116	не могут	5	4
117	в течение	1	4
118	это есть	3	4
119	самого себя	2	4
120	в состоянии	1	4
121	хотя бы	3	4
122	прямой линии	1	4
123	вопрос о	2	3
124	не вполне	1	3
125	во имя	10	3
126	которые не	1	3
127	в истории	2	3
128	целый ряд	1	3
129	и наконец	1	3
130	к которой	1	3
131	в нем	13	3
132	на земле	2	3
133	и по	4	3
134	они должны	1	3
135	заключается в	1	3
136	чтобы все	1	3
137	это не	5	3
138	в жизни	3	3
139	с тем	9	3
140	чем в	2	3
141	в этих	4	3
142	только те	1	3
143	что их	1	3
144	для нас	3	3
145	в разных	1	3
146	во всем	1	3
147	а лишь	1	3
148	от того	1	3
149	у нас	5	3
150	всему этому	1	3
151	как для	2	3
152	и это	12	3
153	коренным образом	1	3
154	жизнь и	1	3
155	может не	2	3
156	в эти	1	3
157	конечно не	3	3
158	в начале	2	3
159	отличие от	1	3
160	как у	1	3
161	прежде всего	10	3
162	же не	1	3
163	ко всем	3	3
164	и потому	10	3
165	что только	1	3
166	от него	4	3
167	бы в	2	3
168	тем более	1	3
169	а в	4	3
170	своего народа	1	3
171	что мы	1	3
172	культуры как	1	3
173	можно назвать	1	3
174	ту же	1	2
175	тех же	1	2
176	в котором	8	2
177	и до	1	2
178	можно лишь	1	2
179	со своей	1	2
180	также и	2	2
181	и состоит	1	2
182	почти все	1	2
183	и ее	1	2
184	антропологии и	1	2
185	в ней	15	2
186	меньше чем	1	2
187	тем как	1	2
188	во всяком	1	2
189	друг к	1	2
190	в сторону	1	2
191	что они	1	2
192	же мало	1	2
193	не очень	1	2
194	и там	4	2
195	и те	2	2
196	если он	5	2
197	этот процесс	3	2
198	что она	1	2
199	он все	1	2
200	он должен	3	2
201	из него	1	2
202	которые уже	1	2
203	к другу	1	2
204	то есть	3	2
205	только одно	3	2
206	он принужден	1	2
207	в них	4	2
208	нет в	4	2
209	потому и	1	2
210	которую он	2	2
211	но если	3	2
212	давно уже	1	2
213	никто не	2	2
214	что до	1	2
