N	2gram	Berdyaev_M_2	Morfolog
1	может быть	21	52
2	не может	15	17
3	в этих	2	16
4	т е	4	16
5	с этим	1	14
6	и в	46	13
7	в этом	20	13
8	так как	8	12
9	связи с	2	11
10	мы видим	2	11
11	то же	5	9
12	так и	4	9
13	не всегда	2	9
14	прежде всего	12	9
15	а не	13	9
16	и не	18	9
17	что и	4	8
18	с другой	1	8
19	вопрос о	6	7
20	и этим	2	7
21	но если	1	7
22	это не	5	6
23	подобно тому	2	6
24	не могут	1	6
25	и здесь	6	6
26	а также	1	6
27	в том	3	6
28	а в	2	6
29	мы не	1	5
30	во всех	2	5
31	не все	1	5
32	тому как	2	5
33	то что	5	5
34	в образе	3	5
35	потому что	12	5
36	вслед за	1	5
37	один из	5	5
38	мы увидим	2	5
39	как бы	8	5
40	то перед	2	5
41	также и	4	4
42	обращается в	1	4
43	если в	1	4
44	как в	7	4
45	хотя и	2	4
46	и как	1	4
47	не только	18	4
48	на его	2	4
49	на этом	2	4
50	об этом	1	4
51	его в	3	4
52	было бы	1	4
53	как и	13	4
54	точки зрения	2	4
55	с точки	1	4
56	ничего не	2	4
57	тем что	3	4
58	он совершает	1	4
59	раньше чем	1	4
60	по отношению	2	4
61	так же	6	4
62	отношению к	2	4
63	что в	4	4
64	связана с	7	3
65	самом деле	1	3
66	на самом	1	3
67	и для	7	3
68	независимо от	1	3
69	целый ряд	1	3
70	но в	10	3
71	к чему	4	3
72	в целом	1	3
73	в нашем	7	3
74	в пределах	1	3
75	он должен	1	3
76	может существовать	1	3
77	но все	1	3
78	входит в	1	3
79	ни в	3	3
80	сам он	2	3
81	том что	4	3
82	в сущности	2	3
83	того чтобы	4	3
84	от того	3	3
85	и другим	1	3
86	с собой	2	3
87	если бы	3	3
88	ивана в	1	3
89	но и	15	3
90	он не	10	3
91	во втором	1	3
92	к нему	2	3
93	в какой	1	3
94	и ее	1	3
95	друг друга	12	3
96	с иваном	1	3
97	что они	3	3
98	быть названо	1	3
99	но это	8	3
100	мы должны	1	3
101	только что	1	3
102	смысле слова	3	2
103	все ли	4	2
104	который может	2	2
105	совсем не	5	2
106	друг на	1	2
107	а с	1	2
108	себя за	1	2
109	и к	7	2
110	то в	2	2
111	та же	10	2
112	как то	2	2
113	право на	1	2
114	у ивана	1	2
115	в нее	1	2
116	можно было	2	2
117	и за	2	2
118	многих других	1	2
119	в другом	1	2
120	за ней	1	2
121	этого не	1	2
122	с тем	1	2
123	на друга	1	2
124	и тогда	3	2
125	для него	18	2
126	что такое	1	2
127	нельзя было	2	2
128	и более	1	2
129	все эти	1	2
130	не имеет	4	2
131	что ни	1	2
132	и его	5	2
133	к себе	2	2
134	они и	4	2
135	для того	5	2
136	оно не	2	2
137	превращена в	1	2
138	вывод что	1	2
139	и что	2	2
140	не с	1	2
141	означает что	4	2
142	о том	3	2
143	может не	1	2
144	ни к	1	2
145	путь к	1	2
146	не означает	2	2
147	и только	1	2
148	того что	6	2
149	быть и	2	2
150	хотя бы	7	2
151	что он	7	2
152	только в	3	2
153	себя в	4	2
154	уже не	4	2
155	вопроса о	4	2
156	друг за	2	2
157	его и	1	2
158	никто не	1	2
159	у нее	1	2
160	момент в	3	2
161	себя и	3	2
162	но есть	1	2
163	не знает	9	2
164	сказать что	3	2
165	исходит от	1	2
166	самого себя	4	2
167	есть и	3	2
168	но для	2	2
169	не существует	3	2
170	не от	2	2
171	в свое	1	2
172	но эти	1	2
173	к этому	1	2
174	и то	1	1
175	он может	1	1
176	вопросах не	1	1
177	собой смерть	1	1
178	свою жену	1	1
179	между двумя	1	1
180	почти всегда	1	1
181	держит в	1	1
182	приходит к	2	1
183	их и	1	1
184	есть не	5	1
185	она в	1	1
186	очень далеко	1	1
187	это совершенно	1	1
188	ответить на	1	1
189	но она	2	1
190	что это	6	1
191	что иное	3	1
192	средство есть	1	1
193	средство для	2	1
194	начала в	3	1
195	или хитрости	1	1
196	он был	9	1
197	тем как	1	1
198	там и	6	1
199	или во	1	1
200	друг к	5	1
201	мы еще	2	1
202	не то	1	1
203	нет не	1	1
204	значение и	1	1
205	отношение к	8	1
206	она есть	2	1
207	которые не	1	1
208	отвечает ему	1	1
209	обнаруживается что	1	1
210	более чем	2	1
211	его не	2	1
212	мысль о	2	1
213	вопросом о	1	1
214	говорит что	2	1
215	но эта	2	1
216	его к	1	1
217	к соединению	2	1
218	царство и	1	1
219	духа в	2	1
220	со своей	1	1
221	втором случае	1	1
222	в которой	2	1
223	к другому	3	1
224	привести к	5	1
225	формы в	1	1
226	не в	9	1
227	думать что	4	1
228	в этой	7	1
229	отношение между	1	1
230	может поднять	1	1
231	и тот	2	1
232	в плену	1	1
233	во многих	1	1
234	на то	1	1
235	что она	5	1
236	отсюда характерный	1	1
237	и вот	5	1
238	в россии	3	1
239	его до	2	1
240	в каждом	3	1
