N	2gram	Vygotskiy__1	NovoeSre
1	а не	3	17
2	и в	23	16
3	не может	12	16
4	и не	9	11
5	что в	14	9
6	как не	1	8
7	в том	24	8
8	жизни и	2	8
9	он не	5	8
10	в этом	17	7
11	может быть	14	7
12	как и	14	7
13	высшей степени	4	6
14	с его	4	6
15	не в	4	6
16	ни в	4	6
17	в высшей	4	6
18	общественной жизни	1	6
19	никогда не	2	6
20	лишь в	6	6
21	должен быть	4	5
22	с ее	1	5
23	в ней	1	5
24	и к	4	5
25	не только	16	5
26	в жизни	1	5
27	все это	6	5
28	в нем	1	5
29	большую роль	1	4
30	о том	6	4
31	и мы	3	4
32	перестает быть	1	4
33	в них	2	4
34	то что	17	4
35	это не	1	4
36	прежде всего	10	4
37	не было	1	4
38	должно быть	2	4
39	и потому	2	4
40	по своему	1	4
41	значит что	1	4
42	не менее	1	4
43	и для	1	4
44	не имеет	2	4
45	и все	5	4
46	потому что	6	4
47	с другой	10	3
48	смысле слова	3	3
49	в ее	2	3
50	вопрос о	7	3
51	человека и	3	3
52	еще не	1	3
53	во всех	3	3
54	за пределы	2	3
55	в истории	1	3
56	наряду с	1	3
57	как в	4	3
58	право и	1	3
59	к ним	1	3
60	но и	14	3
61	и пр	2	3
62	с тем	7	3
63	в своей	4	3
64	перейти от	2	3
65	к жизни	1	3
66	тому как	1	3
67	она не	3	3
68	не существует	1	3
69	в основе	8	3
70	к ее	1	3
71	к тому	4	3
72	в наши	2	3
73	сказать что	11	3
74	и это	3	2
75	же как	6	2
76	связана с	2	2
77	переходе от	2	2
78	время как	4	2
79	в нашу	1	2
80	не имеют	1	2
81	можно было	3	2
82	так и	5	2
83	природе и	2	2
84	к самой	1	2
85	мы не	7	2
86	и с	9	2
87	для этого	5	2
88	потребностей и	2	2
89	я не	3	2
90	жизни как	1	2
91	вот почему	2	2
92	и что	5	2
93	и на	8	2
94	быть в	1	2
95	на протяжении	1	2
96	но не	4	2
97	в новом	3	2
98	все время	6	2
99	с этим	6	2
100	ни к	1	2
101	хотя и	2	2
102	но в	5	2
103	который в	3	2
104	в обществе	1	2
105	все эти	4	2
106	с одной	8	2
107	с их	1	2
108	в себе	6	2
109	уже не	2	2
110	не могла	1	2
111	движение от	2	2
112	не к	2	2
113	том чтобы	3	2
114	у него	1	2
115	что она	4	2
116	и заключается	1	2
117	что все	4	2
