N	4gram	Voloshinov_1	Problema
1	на самом же деле	2	4
2	бы то ни было	8	3
3	и там и здесь	1	2
4	может быть и речи	2	1
5	в настоящее время является	1	1
6	одного и того же	5	1
7	каких бы то ни	3	1
8	этот вопрос мы не	1	1
9	не имеют ничего общего	1	1
10	не чем иным как	1	1
11	является не чем иным	1	1
12	если мы скажем что	1	1
13	не может быть и	2	1
14	с этой точки зрения	1	1
15	неразрывно связаны между собой	1	1
16	в том что он	1	1
17	до сих пор мы	1	1
18	в связи с тем	1	1
19	и в таком случае	1	1
20	так же как и	2	1
21	в ту или иную	1	1
22	имеют ничего общего с	1	1
23	и не было бы	1	1
24	одним и тем же	1	1
