N	4gram	Tiupa_Hudo_1	Hudozhes
1	в то же время	5	8
2	специфически человеческий способ существования	1	1
3	том и состоит что	1	1
4	дамы с собачкой и	1	1
5	в том и состоит	2	1
6	в том случае если	1	1
7	с этой точки зрения	1	1
8	предстают перед нами не	1	1
9	в том что он	1	1
10	состоит в том что	4	1
11	уходит своими корнями в	1	1
12	раз в том что	1	1
13	но как субъекты этического	1	1
14	состоит как раз в	1	1
15	и несет в себе	1	1
16	как раз в том	1	1
17	еще и потому что	1	1
18	и в то же	1	1
19	как субъекты этического выбора	1	1
20	нами не как объекты	1	1
21	том что он не	1	1
22	и состоит что он	1	1
23	приводит к тому что	2	1
24	и по отношению к	1	1
25	перед нами не как	1	1
