N	3gram	Propp_Isto_6	TeoriaLi
1	по отношению к	2	8
2	в том что	5	6
3	в данном случае	3	5
4	более или менее	1	4
5	с другой стороны	8	3
6	тем не менее	1	3
7	можно сказать что	1	3
8	в этом мире	1	2
9	и не могло	1	2
10	не могло быть	2	2
11	с одной стороны	7	2
12	и то же	1	2
13	а с другой	1	2
14	так или иначе	1	2
15	одно и то	1	2
16	и тем самым	1	2
17	не может быть	3	2
18	как и в	2	2
19	том что в	2	1
20	который может быть	1	1
21	если он не	1	1
22	в чистом виде	1	1
23	мы видим в	1	1
24	этой точки зрения	1	1
25	по ту сторону	1	1
26	подобно тому как	1	1
27	в том числе	1	1
28	в этом случае	6	1
29	со всех сторон	1	1
30	в одной из	1	1
31	в таком случае	1	1
32	только то что	2	1
33	том числе и	1	1
34	точно так же	2	1
35	и др в	1	1
36	из этих двух	1	1
37	то или иное	1	1
38	здесь мы имеем	4	1
39	таким образом и	2	1
40	он не будет	1	1
41	как бы в	1	1
42	так же как	1	1
43	в то время	3	1
44	с этой точки	1	1
45	о том что	4	1
46	связь со смертью	1	1
47	мы имеем в	4	1
48	в этих случаях	1	1
49	больше и больше	2	1
50	в сравнении с	1	1
51	для того чтобы	1	1
52	том что он	1	1
