N	3gram	Medvedev_S_1	Myslijsy
1	в том что	2	16
2	по отношению к	2	5
3	по крайней мере	1	5
4	не в том	2	5
5	а в том	1	5
6	то же время	1	5
7	в то же	1	5
8	с одной стороны	1	3
9	а между тем	1	2
10	именно в том	1	2
11	сама по себе	1	2
12	дает нам право	1	1
13	отношению к субъекту	1	1
14	и должны служить	1	1
15	то же самое	1	1
16	том что это	1	1
17	это дает нам	1	1
18	а тем более	1	1
19	в противном случае	1	1
20	это зависит от	1	1
21	быть не только	1	1
22	только то что	1	1
23	и стало быть	1	1
24	друг от друга	1	1
