N	3gram	Bakhtin_fo_1	Dialekti
1	с точки зрения	2	8
2	сама по себе	1	7
3	в том что	2	6
4	и не только	2	5
5	пространства и времени	3	4
6	одно и то	3	4
7	и то же	3	4
8	в связи с	5	4
9	то же время	9	4
10	о том что	1	4
11	и может быть	1	3
12	в самом деле	1	3
13	сами по себе	1	3
14	в то же	6	3
15	может быть и	2	3
16	то время как	2	3
17	не может быть	3	3
18	в то время	3	3
19	мы уже знаем	1	3
20	в той или	1	2
21	в виду что	1	2
22	тогда когда оно	1	2
23	до сих пор	3	2
24	в зависимости от	1	2
25	и т п	8	2
26	может быть только	3	2
27	и в частности	2	2
28	в данном случае	1	2
29	не только в	2	2
30	как мы это	1	2
31	не могут быть	1	2
32	во всяком случае	1	2
33	в широком смысле	2	2
34	та или иная	1	2
35	с самого начала	2	2
36	что в нем	1	2
37	времени и пространства	4	2
38	и прежде всего	2	2
39	том что в	1	1
40	бросается в глаза	1	1
41	одних и тех	2	1
42	и пространства в	2	1
43	даже то что	1	1
44	мы говорим о	1	1
45	с чем не	1	1
46	равно как и	2	1
47	в определенном направлении	1	1
48	мы уже сказали	2	1
49	это время как	1	1
50	и до сих	1	1
51	одной стороны и	2	1
52	так и его	1	1
53	же как и	2	1
54	нам еще придется	1	1
55	не было и	2	1
56	мы находим в	1	1
57	и в то	5	1
58	но и в	2	1
59	в себе и	1	1
60	в этом отношении	3	1
61	может быть конечно	2	1
62	и тех же	2	1
63	только благодаря своему	1	1
64	друг другу но	1	1
65	со всех сторон	1	1
66	главным образом в	1	1
67	вместе с тем	2	1
68	в это время	1	1
69	как раз в	4	1
70	для полного уяснения	1	1
71	со всеми его	2	1
72	в данном месте	1	1
73	человеческой жизни и	1	1
74	так же как	2	1
75	с одной стороны	2	1
76	вещей и явлений	1	1
77	в одно и	3	1
78	была бы совершенно	1	1
79	то что можно	1	1
80	и в этом	1	1
81	мы будем говорить	1	1
82	все более и	1	1
83	в нем не	3	1
84	мы уже говорили	3	1
85	пространством и временем	1	1
86	не вызывает никаких	1	1
87	когда мы говорим	1	1
88	и в том	1	1
89	он вступает в	1	1
90	жизни и в	2	1
91	по глубине и	1	1
92	друг с другом	1	1
93	в результате всего	1	1
94	надо сказать что	1	1
95	все это не	1	1
96	и как бы	1	1
97	по сравнению с	2	1
98	вызывает никаких сомнений	1	1
99	все эти элементы	1	1
100	всего того что	1	1
101	но дело не	1	1
102	связи с этим	2	1
103	к выводу что	1	1
104	ни с чем	1	1
105	и пространства и	1	1
106	более и более	1	1
107	той или иной	2	1
108	но все же	2	1
109	том что все	1	1
110	которые могут быть	1	1
111	не происходит в	1	1
112	не только на	1	1
113	и в литературе	1	1
114	но все эти	2	1
115	в своей жизни	1	1
116	широком смысле но	1	1
117	как мы уже	8	1
118	мы это уже	1	1
119	что и все	1	1
120	к тому же	2	1
121	и все его	1	1
122	в жизни и	1	1
123	во все стороны	1	1
