N	4gram	Medvedev_F_3	PoTuStor
1	и пр и пр	1	2
2	дело в том что	1	1
3	мы имеем в виду	1	1
4	одних и тех же	1	1
5	бы то ни было	4	1
6	одного и того же	1	1
7	мы уже знаем что	2	1
8	во всех областях идеологического	2	1
9	а вместе с тем	1	1
10	вступать между собою в	1	1
11	если мы отвлечемся от	2	1
12	с этой точки зрения	1	1
13	всех областях идеологического творчества	2	1
14	ни в коем случае	1	1
15	каких бы то ни	1	1
16	мы можем сказать что	1	1
17	так во всех областях	1	1
18	в нем нет и	1	1
19	то же самое и	1	1
20	бы оно ни было	1	1
