N	4gram	Medvedev_V_1	FransuaR
1	в то же время	5	10
2	и в то же	3	5
3	большей или меньшей степени	2	3
4	в большей или меньшей	2	3
5	в том числе и	2	2
6	но в то же	1	2
7	с одной стороны и	2	1
8	не подлежит сомнению что	1	1
9	в том что оно	1	1
10	не может быть и	1	1
11	но к тому же	1	1
12	в том или ином	1	1
13	может быть и речи	1	1
14	в той или иной	1	1
15	и вместе с тем	1	1
16	говорит о том что	1	1
17	не в том что	2	1
18	они не только не	1	1
19	и др таким образом	1	1
20	никогда не может быть	1	1
21	что для того чтобы	1	1
