N	3gram	Tiupa_Anal_1	Otkroven
1	для того чтобы	3	3
2	а не в	3	2
3	не может быть	16	2
4	но и в	2	2
5	не могут быть	2	2
6	смысле этого слова	1	1
7	как будто бы	1	1
8	по природе своей	2	1
9	все еще не	1	1
10	в виду не	1	1
11	не в том	3	1
12	а вовсе не	1	1
13	прежде всего в	1	1
14	в самом деле	2	1
15	о том как	1	1
16	так и не	1	1
17	и все же	2	1
18	не было и	1	1
19	и не может	4	1
20	во всяком случае	1	1
21	том случае если	1	1
22	сам по себе	1	1
23	о том что	3	1
24	в этом отношении	2	1
25	ни с какой	1	1
26	и в самом	1	1
27	в том что	9	1
28	и не в	4	1
29	в том случае	1	1
30	не так как	1	1
31	друг с другом	1	1
32	или лучше сказать	1	1
33	как и в	1	1
34	ничто не может	1	1
