N	2gram	Vinokur_St_2	OGranits
1	и в	29	13
2	и его	6	12
3	прежде всего	5	9
4	может быть	2	8
5	не может	2	8
6	и не	9	8
7	в его	13	7
8	и их	1	7
9	и пр	8	7
10	точки зрения	5	7
11	только в	2	6
12	как бы	5	6
13	не только	19	6
14	то что	11	6
15	таким образом	10	6
16	все же	6	5
17	в поэзии	1	5
18	с точки	2	5
19	в процессе	2	5
20	хотя бы	3	5
21	мы не	1	4
22	тех пор	1	4
23	еще и	3	4
24	но в	8	4
25	мы можем	1	4
26	то же	2	4
27	в своей	7	4
28	было бы	5	4
29	все это	11	4
30	в выборе	1	4
31	в двух	1	4
32	не является	3	4
33	материала в	1	4
34	в каждом	1	4
35	вряд ли	3	3
36	и то	1	3
37	в ее	2	3
38	самом деле	3	3
39	в пределах	1	3
40	так и	9	3
41	г в	5	3
42	говорить о	1	3
43	похожим на	1	3
44	в их	3	3
45	по отношению	1	3
46	за пределы	1	3
47	общего с	1	3
48	с этим	3	3
49	в которой	11	3
50	в себе	2	3
51	языка как	1	3
52	к одному	1	3
53	не как	1	3
54	в одном	6	3
55	так как	2	3
56	одно и	1	3
57	но и	19	3
58	как и	2	3
59	и уже	1	3
60	что же	1	3
61	не в	4	3
62	да и	1	3
63	но для	1	3
64	и для	1	3
65	никогда не	3	3
66	и все	1	3
67	отношению к	1	3
68	не столько	7	3
69	что в	19	3
70	ничего общего	1	3
71	смысле слова	1	2
72	произведения но	1	2
73	и др	2	2
74	данном случае	1	2
75	зависимости от	1	2
76	роль в	1	2
77	конечно в	2	2
78	те же	1	2
79	если бы	2	2
80	с самого	3	2
81	в ней	7	2
82	ее в	2	2
83	речи не	1	2
84	а также	2	2
85	в чем	1	2
86	между тем	5	2
87	в общем	3	2
88	нуждается в	1	2
89	в языке	5	2
90	что они	2	2
91	наконец в	3	2
92	к сожалению	2	2
93	чем же	1	2
94	случае и	1	2
95	как в	3	2
96	в которую	2	2
97	в данном	2	2
98	в этом	21	2
99	в полном	3	2
100	в том	27	2
101	тот же	1	2
102	с ними	1	2
103	и тем	1	2
104	все эти	2	2
105	уже в	1	2
106	кажется что	3	2
107	в нем	4	2
108	при этом	2	2
109	для него	4	2
110	в другом	4	2
111	отношений между	3	2
112	вовсе не	6	2
113	в зависимости	1	2
114	о языке	1	2
115	тем что	3	2
116	в них	2	2
117	связанных с	1	2
118	но одно	1	2
119	в области	2	2
120	литературного языка	2	2
121	с другой	4	2
122	а как	4	2
123	в самом	7	2
124	не на	2	2
125	а не	5	2
126	другой стороны	3	2
127	в руках	1	2
128	там где	2	2
129	не мог	3	2
130	несмотря на	2	2
131	в связи	1	2
132	пределах данной	1	2
133	том что	27	2
134	в г	7	2
135	от своего	1	2
136	так же	3	2
137	в отношении	2	2
138	своего рода	5	2
139	в течение	6	2
140	против такого	1	2
141	в тех	2	2
142	которой является	3	2
143	с этой	2	2
144	не менее	3	2
145	что эта	3	2
146	самого начала	3	2
147	разумеется что	4	2
148	не имеет	2	2
149	особенностей в	1	2
150	в книге	1	2
151	пути к	1	2
152	бы в	1	2
153	нужно отметить	1	2
154	а в	1	2
155	еще в	2	2
156	в материал	1	2
157	и к	4	2
158	в своих	1	2
159	поэтического языка	2	2
160	каждое слово	1	2
161	к тому	10	2
162	и это	2	1
163	одним из	6	1
164	также и	2	1
165	же как	3	1
166	xvii века	1	1
167	зависимость от	1	1
168	в виду	7	1
169	того же	2	1
170	но вообще	1	1
171	и сами	1	1
172	в некоторых	2	1
173	как известно	2	1
174	что до	1	1
175	только потому	2	1
176	уже к	1	1
177	это и	1	1
178	ту же	1	1
179	и до	1	1
180	не имеют	1	1
181	на том	1	1
182	едва ли	1	1
183	в образе	3	1
184	можно было	1	1
185	в несколько	1	1
186	особенно в	2	1
187	свое мнение	2	1
188	в борьбе	1	1
189	значения как	1	1
190	здесь нет	1	1
191	на материале	1	1
192	нуждаются в	1	1
193	на первом	2	1
194	к тем	1	1
195	и о	4	1
196	вопрос о	6	1
197	и всякого	1	1
198	другое дело	3	1
