N	3gram	Bakhtin_Fr_5	Narrotol
1	в том что	6	8
2	о том что	1	6
3	по отношению к	1	6
4	в том числе	4	6
5	в отличие от	2	5
6	не может быть	2	5
7	все те же	1	4
8	том числе и	2	4
9	в основе своей	1	4
10	и не в	2	4
11	в данном случае	2	4
12	к тому же	2	4
13	той или иной	1	4
14	можно сказать что	2	4
15	в этом отношении	5	3
16	тем не менее	1	3
17	то же время	9	3
18	в свою очередь	1	3
19	в то же	9	3
20	что иное как	1	2
21	в той или	1	2
22	не только о	1	2
23	с точки зрения	2	2
24	можно было бы	2	2
25	отношению к которому	1	2
26	в значительной степени	1	2
27	так же как	4	2
28	не что иное	1	2
29	в себя и	1	2
30	в связи с	5	2
31	то есть в	2	2
32	в конечном счете	1	2
33	здесь не в	3	2
34	на другой день	1	2
35	вещами и ценностями	1	1
36	том что в	1	1
37	и того же	1	1
38	существенную роль в	2	1
39	не могло не	2	1
40	самым существенным образом	1	1
41	дело в том	2	1
42	уже более не	1	1
43	но именно это	1	1
44	на самом деле	4	1
45	в самом деле	1	1
46	то же самое	2	1
47	же как и	2	1
48	он не может	1	1
49	точку зрения на	2	1
50	до сих пор	3	1
51	не подлежит сомнению	1	1
52	да и в	1	1
53	людей так и	1	1
54	и в то	1	1
55	до известной степени	4	1
56	независимо от того	1	1
57	но это не	1	1
58	в вечности и	1	1
59	и др в	2	1
60	он ни был	1	1
61	тому же принципу	1	1
62	может быть и	1	1
63	не могло быть	1	1
64	же время в	1	1
65	между вещами и	1	1
66	и с точки	2	1
67	в году в	1	1
68	а также и	4	1
69	только благодаря этому	1	1
70	дело здесь не	2	1
71	или иной форме	1	1
72	в нем не	3	1
73	и во второй	1	1
74	нем не только	1	1
75	все то что	1	1
76	они свидетельствуют о	1	1
77	есть не что	1	1
78	не имеет значения	1	1
79	так и в	1	1
80	но в его	1	1
81	включает в себя	1	1
82	в церкви и	1	1
83	далеко не все	1	1
84	он еще не	1	1
85	и прежде всего	3	1
86	как своего рода	1	1
87	идет не только	1	1
88	одного и того	1	1
89	и в заключительном	1	1
90	жизни а также	1	1
91	бы он ни	1	1
92	друг от друга	1	1
93	не представляется возможным	1	1
94	как мы уже	1	1
95	из этих двух	1	1
96	друг с другом	2	1
97	как и в	1	1
98	здесь как и	2	1
99	в отрыве от	2	1
100	как мы видели	4	1
