N	3gram	Bakhtin_sl_1	Hudozhes
1	в том что	1	11
2	о том что	1	7
3	то же время	12	4
4	в то же	12	4
5	к тому что	2	4
6	а между тем	2	3
7	не может быть	1	3
8	как и в	1	3
9	с одной стороны	4	3
10	для того чтобы	1	3
11	тем не менее	1	3
12	и в этом	2	2
13	с точки зрения	8	2
14	до сих пор	2	2
15	и в то	5	2
16	хотя бы и	3	2
17	и т п	23	2
18	можно было бы	2	2
19	в данном случае	3	2
20	и сам он	1	2
21	того или иного	2	2
22	не только не	1	2
23	не только в	2	2
24	между автором и	2	2
25	и т д	5	2
26	дистанции между ними	1	1
27	на чужое слово	1	1
28	да и в	1	1
29	зрения на мир	4	1
30	той или иной	9	1
31	дело в том	1	1
32	это было бы	1	1
33	мы ничего не	1	1
34	бы то ни	1	1
35	в этом отношении	1	1
36	то и в	1	1
37	сознания это не	1	1
38	а иногда и	1	1
39	то или иное	1	1
40	в значительной степени	1	1
41	в один ряд	1	1
42	и все его	1	1
43	не находя в	1	1
44	а также и	1	1
45	и не было	1	1
46	перед нами в	1	1
47	то время как	2	1
48	а не как	2	1
49	и потому не	1	1
50	так или иначе	1	1
51	и сам рассказчик	1	1
52	и не могла	1	1
53	с другой стороны	4	1
54	и в том	2	1
55	но с другой	1	1
56	не могло быть	1	1
57	в то время	2	1
58	в первом случае	2	1
59	в этом случае	2	1
60	но сама она	1	1
61	с самого начала	1	1
62	к чужому слову	4	1
63	именно потому что	1	1
64	можно сказать что	1	1
65	лежит в основе	1	1
66	о себе как	1	1
67	у нее нет	1	1
68	в одном из	1	1
69	при этом из	1	1
70	о нем он	1	1
71	о том же	2	1
72	с его установкой	1	1
73	в пределах одного	1	1
