N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	56
2	в его	2	18
3	таким образом	11	17
4	все эти	5	15
5	в этом	7	14
6	в том	4	13
7	в то	1	12
8	и его	1	12
9	то же	3	11
10	и т.п	1	11
11	как бы	4	11
12	и до	1	10
13	мы уже	1	10
14	еще не	3	10
15	же время	1	10
16	в самом	2	9
17	и не	6	9
18	только в	1	9
19	во всех	1	8
20	не только	4	8
21	в нем	3	8
22	и их	1	8
23	и даже	2	8
24	до сих	1	8
25	сих пор	1	8
26	все это	3	8
27	том что	1	8
28	в большинстве	1	7
29	как мы	2	7
30	у него	2	7
31	той же	2	6
32	в этой	3	6
33	но в	3	6
34	на его	2	6
35	точки зрения	12	6
36	вовсе не	1	6
37	мы видим	2	6
38	связи с	1	6
39	прежде всего	5	6
40	все они	1	6
41	и все	3	6
42	с ее	1	5
43	с его	1	5
44	но не	1	5
45	он не	1	5
46	так сказать	2	5
47	роль в	2	5
48	мы видели	4	5
49	такой же	2	5
50	в процессе	1	5
51	никогда не	1	5
52	в области	3	5
53	один из	1	5
54	не было	1	5
55	как и	6	5
56	в условиях	5	5
57	в результате	6	5
58	что в	2	5
59	они не	1	5
60	и потому	3	4
61	в ней	1	4
62	и к	3	4
63	в которой	2	4
64	что это	2	4
65	в себе	3	4
66	при этом	3	4
67	их в	4	4
68	что все	2	4
69	и более	1	4
70	одна из	3	4
71	и несколько	1	4
72	в духе	1	4
73	в совершенно	1	4
74	времени и	2	4
75	о том	1	4
76	в ту	1	4
77	с одной	2	4
78	конечно не	1	4
79	так как	4	4
80	в своих	1	4
81	на них	1	3
82	в своем	1	3
83	кроме того	1	3
84	и наконец	5	3
85	ведь в	1	3
86	здесь нет	1	3
87	громадную роль	1	3
88	не в	3	3
89	рядом с	1	3
90	в другом	1	3
91	и т.д	3	3
92	настоящее время	2	3
93	все его	1	3
94	подлежит сомнению	2	3
95	как например	1	3
96	видели что	3	3
97	одной из	1	3
98	уже не	2	3
99	может быть	12	3
100	здесь в	1	3
101	к которому	1	3
102	в некоторых	2	3
103	сказать что	1	3
104	там где	1	3
105	с помощью	4	3
106	на эту	1	3
107	в связи	1	3
