N	3gram	Berdyaev_O_1	Problema
1	в том что	1	9
2	и то что	1	7
3	сам по себе	1	6
4	во всяком случае	1	6
5	и в этом	2	6
6	не может быть	2	5
7	что это за	1	3
8	и в его	1	3
9	как будто бы	1	3
10	само по себе	1	3
11	о том что	1	3
12	там и здесь	1	3
13	хотя и не	1	2
14	а вовсе не	1	2
15	о том как	1	2
16	да и то	1	2
17	но и в	2	2
18	по сравнению с	1	2
19	даже и в	1	2
20	и там и	1	2
21	не есть просто	1	2
22	в виду не	1	1
23	это не есть	1	1
24	а не в	2	1
25	ни к каким	1	1
26	это было бы	2	1
27	он не только	1	1
28	и действительно в	1	1
29	с тем что	2	1
30	вовсе не так	1	1
31	и не в	1	1
32	значение что же	1	1
33	только и состоит	1	1
34	как и в	1	1
35	ни с каким	1	1
36	и не очень	1	1
37	у л толстого	1	1
38	смысле этого слова	1	1
39	ничего не хочет	1	1
40	друг к другу	1	1
41	есть уже не	1	1
42	бросается в глаза	1	1
43	не имеют самостоятельного	1	1
44	и все же	1	1
45	от того что	1	1
46	нет ничего кроме	2	1
47	и никогда не	2	1
48	необходимо подчеркнуть еще	1	1
49	ни с чем	1	1
50	в самом деле	1	1
51	на то что	1	1
52	для того чтобы	3	1
53	не так как	1	1
54	но в этой	1	1
55	и вопрос о	1	1
