N	4gram	Losev_Dial_1	KulturaY
1	и тем не менее	1	3
2	лишь с точки зрения	1	2
3	я имею в виду	1	2
4	стать на точку зрения	1	2
5	ни в какой мере	1	2
6	в какой мере не	1	2
7	т д и т	2	1
8	никогда не может быть	1	1
9	если бы не было	1	1
10	и т д но	2	1
11	одной и той же	1	1
12	то же время как	1	1
13	беда в том что	1	1
14	в то или иное	1	1
15	уже по одному тому	1	1
16	не потому что он	1	1
17	д и т д	2	1
18	и т д и	2	1
19	и в то же	2	1
20	не с точки зрения	2	1
21	что для того чтобы	1	1
22	убеждение в том что	1	1
23	ни в коем случае	1	1
24	можно сказать только то	1	1
25	в то же время	4	1
26	по одному тому что	1	1
27	когда мы говорим что	1	1
