N	2gram	Nazirov_Tv_1	Otkroven
1	у него	7	22
2	человеческой природы	1	20
3	и в	21	19
4	у достоевского	28	19
5	но и	3	13
6	и не	7	13
7	в этом	6	12
8	из подполья	13	11
9	человека в	6	11
10	не в	2	11
11	не только	7	11
12	может быть	5	11
13	а не	5	11
14	человека и	4	10
15	в нем	3	10
16	и все	6	10
17	в самой	1	9
18	прежде всего	4	9
19	к человеку	3	9
20	не было	1	9
21	в человеке	4	9
22	никогда не	3	9
23	потому что	5	9
24	он был	1	8
25	и он	2	8
26	в его	13	7
27	человек не	1	7
28	он не	8	7
29	в глубине	1	7
30	достоевского он	2	7
31	до конца	2	7
32	но он	2	7
33	от него	1	7
34	человеческой души	2	6
35	человеческой личности	3	6
36	как и	12	6
37	все это	10	6
38	в том	7	5
39	в самом	3	5
40	в этой	5	5
41	человеке и	1	5
42	для него	6	5
43	в россии	3	5
44	достоевского и	3	5
45	в творчестве	6	5
46	него в	1	5
47	о его	1	5
48	для достоевского	4	5
49	а в	6	5
50	то что	8	5
51	записок из	3	5
52	человеку и	1	5
53	достоевского все	1	4
54	достоевского есть	1	4
55	он сам	6	4
56	в преступлении	6	4
57	с его	11	4
58	человеческой природе	1	4
59	достоевского не	6	4
60	все эти	1	4
61	герои достоевского	4	4
62	него и	1	4
63	на земле	3	4
64	что не	2	4
65	в идиоте	3	4
66	человеческих отношений	3	4
67	не может	4	4
68	в романах	13	4
69	т е	1	4
70	достоевский не	4	4
71	человек и	1	4
72	есть лишь	1	4
73	и его	6	4
74	что в	12	4
75	и есть	1	3
76	в бесах	3	3
77	достоевского в	12	3
78	быть может	2	3
79	о том	6	3
80	еще не	1	3
81	самого достоевского	3	3
82	во имя	2	3
83	к нему	1	3
84	преступлении и	4	3
85	человек был	1	3
86	человека его	2	3
87	подполья и	1	3
88	было бы	1	3
89	того что	3	3
90	когда он	2	3
91	что он	6	3
92	и ее	1	3
93	в себе	2	3
94	записках из	3	3
95	в записках	4	3
96	и вот	1	3
97	не могут	1	3
98	это было	1	3
99	что человек	3	3
100	это не	4	3
101	достоевского было	1	3
102	о христе	1	3
103	мысли и	4	3
104	могут быть	2	3
105	как бы	17	3
106	записки из	6	3
107	романах достоевского	15	3
108	с ним	3	3
109	в русской	5	3
110	и от	4	3
111	в этих	2	3
112	хотя бы	5	3
113	в своих	5	3
114	и наказании	4	3
115	он лишь	1	3
116	и с	3	2
117	в ее	1	2
118	достоевского к	3	2
119	мысль о	2	2
120	этого мира	1	2
121	что у	1	2
122	так и	2	2
123	его не	1	2
124	его героев	1	2
125	и о	1	2
126	движение в	1	2
127	по себе	1	2
128	их не	1	2
129	и на	7	2
130	совсем не	1	2
131	не все	1	2
132	что и	2	2
133	в истории	1	2
134	как к	2	2
135	в своем	4	2
136	достоевского нужно	1	2
137	все же	5	2
138	героев достоевского	3	2
139	и к	1	2
140	в этот	1	2
141	должен был	1	2
142	добро и	1	2
143	в которой	3	2
144	что достоевский	7	2
145	он в	1	2
146	творчество достоевского	3	2
