N	2gram	Berdyaev_V_1	Myshleni
1	в том	3	42
2	том что	2	35
3	в этом	4	24
4	и в	16	20
5	что в	3	19
6	то что	9	15
7	не только	2	15
8	что они	7	14
9	потому что	4	12
10	в его	4	11
11	того что	5	10
12	в истории	8	10
13	так как	9	10
14	и то	2	10
15	только в	2	10
16	но и	5	9
17	между тем	2	9
18	как и	4	9
19	тот же	3	9
20	что и	3	9
21	и не	20	8
22	и что	3	8
23	как бы	5	7
24	что мы	4	7
25	в своей	3	7
26	а не	7	7
27	того чтобы	2	7
28	тем что	2	7
29	могут быть	2	7
30	к тому	3	6
31	с тем	2	6
32	что он	4	6
33	можно было	2	6
34	никогда не	3	5
35	это не	2	5
36	так и	4	5
37	все эти	3	5
38	тому что	3	4
39	для нас	2	4
40	на том	2	4
41	его к	2	4
42	не в	3	4
43	и для	3	4
44	во всяком	2	4
45	не могут	2	3
46	в этих	3	3
47	что все	4	3
48	один из	2	3
49	должно быть	3	3
50	но в	3	3
51	и во	2	3
52	но не	2	3
53	ни в	3	3
54	является в	2	3
55	в чем	3	3
56	должна быть	3	2
57	прежде всего	2	2
58	это мы	2	2
59	мы и	2	2
60	которой они	2	2
61	для него	2	2
62	вслед за	2	2
63	в ней	4	2
64	в нем	4	2
65	вопросе о	2	2
66	не имеет	3	2
67	а в	2	2
68	самого себя	2	2
69	их в	3	2
70	в вопросе	3	2
71	еще не	8	2
72	этих трех	3	2
73	не есть	6	2
74	и тогда	2	2
75	а с	2	2
76	если не	3	2
77	под этим	2	2
78	по пути	5	2
79	и это	2	2
80	которые не	2	2
