N	2gram	Bakhtin_KF_1	OGranits
1	и в	24	13
2	и его	17	12
3	прежде всего	2	9
4	не может	27	8
5	и не	26	8
6	может быть	45	8
7	и их	6	7
8	точки зрения	12	7
9	и пр	3	7
10	в его	40	7
11	не только	5	6
12	то что	7	6
13	только в	16	6
14	как бы	9	6
15	все же	5	5
16	с точки	9	5
17	и эта	2	5
18	но ведь	5	5
19	хотя бы	4	5
20	и т.д	2	5
21	в процессе	2	5
22	то же	5	4
23	в своей	10	4
24	все это	10	4
25	в каждом	3	4
26	лишь в	8	4
27	мы не	3	4
28	было бы	8	4
29	в сознании	2	4
30	но в	5	4
31	отношению к	22	3
32	что в	4	3
33	никогда не	5	3
34	но и	9	3
35	так и	2	3
36	в их	8	3
37	по отношению	26	3
38	не как	4	3
39	и все	7	3
40	в одном	4	3
41	здесь мы	4	3
42	самом деле	3	3
43	в ее	16	3
44	как и	5	3
45	не в	12	3
46	и то	2	3
47	в себе	21	3
48	говорить о	2	3
49	ничего общего	2	3
50	и для	9	3
51	но для	2	3
52	и этот	3	2
53	не менее	3	2
54	для себя	5	2
55	ни одно	5	2
56	а как	2	2
57	и тем	3	2
58	в нем	28	2
59	может иметь	2	2
60	во всей	4	2
61	в целом	10	2
62	сознания и	3	2
63	а не	17	2
64	что эта	2	2
65	думать что	2	2
66	входит в	3	2
67	а в	4	2
68	все эти	10	2
69	вовсе не	7	2
70	или иного	3	2
71	конечно в	2	2
72	как в	2	2
73	если бы	8	2
74	в чем	4	2
75	не имеет	5	2
76	в том	6	2
77	том что	4	2
78	с ними	3	2
79	в своих	3	2
80	в данном	2	2
81	в этом	14	2
82	от этого	2	2
83	тем что	3	2
84	между тем	4	2
85	могут быть	3	2
86	при этом	4	2
87	всей своей	2	2
88	и ее	2	2
89	соответствии с	2	2
90	для него	8	2
91	в другом	3	2
92	во всем	7	2
93	и может	3	2
94	кажется что	2	2
95	того или	3	2
96	его на	2	2
97	мы получим	2	2
98	в области	2	2
99	там где	5	2
100	на язык	3	2
101	в ней	3	2
