N	2gram	Vinokur_St_2	OGranits
1	и в	29	13
2	и его	6	12
3	прежде всего	5	9
4	не может	2	8
5	и не	9	8
6	может быть	2	8
7	точки зрения	5	7
8	и пр	8	7
9	в его	13	7
10	таким образом	10	6
11	не только	19	6
12	то что	11	6
13	только в	2	6
14	как бы	5	6
15	все же	6	5
16	с точки	2	5
17	хотя бы	3	5
18	в процессе	2	5
19	то же	2	4
20	не является	3	4
21	в своей	7	4
22	все это	11	4
23	еще и	3	4
24	было бы	5	4
25	но в	8	4
26	что в	19	3
27	никогда не	3	3
28	но и	19	3
29	так и	9	3
30	в их	3	3
31	вряд ли	3	3
32	в одном	6	3
33	самом деле	3	3
34	в ее	2	3
35	как и	2	3
36	не в	4	3
37	в которой	11	3
38	не столько	7	3
39	г в	5	3
40	в себе	2	3
41	с этим	3	3
42	так как	2	3
43	еще в	2	2
44	которой является	3	2
45	не менее	3	2
46	и др	2	2
47	с этой	2	2
48	а как	4	2
49	самого начала	3	2
50	в нем	4	2
51	ее в	2	2
52	литературного языка	2	2
53	своего рода	5	2
54	а не	5	2
55	что эта	3	2
56	в отношении	2	2
57	отношений между	3	2
58	другой стороны	3	2
59	с другой	4	2
60	в языке	5	2
61	не на	2	2
62	в них	2	2
63	в течение	6	2
64	в полном	3	2
65	все эти	2	2
66	вовсе не	6	2
67	разумеется что	4	2
68	конечно в	2	2
69	в тех	2	2
70	с самого	3	2
71	к тому	10	2
72	и к	4	2
73	как в	3	2
74	если бы	2	2
75	в общем	3	2
76	не имеет	2	2
77	в г	7	2
78	в том	27	2
79	в которую	2	2
80	наконец в	3	2
81	так же	3	2
82	не мог	3	2
83	поэтического языка	2	2
84	том что	27	2
85	в данном	2	2
86	что они	2	2
87	в этом	21	2
88	тем что	3	2
89	между тем	5	2
90	при этом	2	2
91	к сожалению	2	2
92	для него	4	2
93	в другом	4	2
94	кажется что	3	2
95	несмотря на	2	2
96	в области	2	2
97	в самом	7	2
98	там где	2	2
99	в ней	7	2
100	а также	2	2
