N	2gram	Bakhtin_Fr_4	Mirosoze
1	и в	29	46
2	в нем	5	22
3	у него	5	22
4	может быть	2	21
5	в этом	11	20
6	никогда не	2	18
7	и не	16	18
8	не только	10	18
9	но и	9	15
10	не может	2	15
11	как и	12	13
12	прежде всего	8	12
13	друг друга	2	12
14	в ней	3	11
15	но он	6	11
16	но в	12	10
17	он не	3	10
18	в себе	3	10
19	он был	2	9
20	и есть	4	8
21	но это	4	8
22	как бы	8	8
23	в своем	3	8
24	так как	7	8
25	связана с	4	7
26	в этой	13	7
27	в нашем	4	7
28	что он	4	7
29	и к	2	7
30	как в	2	7
31	и для	2	7
32	что это	5	6
33	так же	7	6
34	того что	3	6
35	и здесь	3	6
36	жизни и	4	6
37	то же	10	5
38	и вот	3	5
39	один из	4	5
40	это не	5	5
41	в конце	9	5
42	и все	13	5
43	к тому	2	5
44	по преимуществу	3	5
45	то что	4	5
46	в своей	5	5
47	для того	3	5
48	и его	8	5
49	в его	8	5
50	и это	2	5
51	до конца	5	4
52	что у	3	4
53	они не	2	4
54	также и	4	4
55	с его	4	4
56	в жизни	2	4
57	том что	3	4
58	земной жизни	2	4
59	себя в	2	4
60	так и	11	4
61	уже не	2	4
62	того чтобы	3	4
63	у них	3	4
64	жизнь и	4	4
65	раскрывает нам	2	3
66	в образе	4	3
67	ни в	2	3
68	в том	7	3
69	что они	2	3
70	было в	2	3
71	жизни в	2	3
72	не мог	2	3
73	принадлежат к	2	3
74	в своих	2	3
75	и на	11	3
76	сказать что	5	3
77	и с	9	3
78	по своей	3	3
79	о том	2	3
80	его в	9	3
81	как он	2	3
82	нет ничего	2	3
83	с ним	2	3
84	к которому	2	3
85	они были	3	3
86	в них	7	3
87	это и	5	3
88	есть и	4	3
89	той же	3	3
90	тем что	4	3
91	только в	2	3
92	есть в	2	3
93	в чем	3	3
94	место в	2	2
95	уже в	2	2
96	сам он	2	2
97	в этих	2	2
98	мир и	2	2
99	быть может	2	2
100	все время	3	2
101	да и	2	2
102	на его	2	2
103	хотя и	2	2
104	же и	3	2
105	этом он	2	2
106	к нему	3	2
107	и за	3	2
108	но она	2	2
109	этот процесс	6	2
110	как к	3	2
111	в разных	3	2
112	и других	3	2
113	в основе	2	2
114	точки зрения	4	2
115	но этот	2	2
116	не случайно	3	2
117	на этом	2	2
118	в пределе	3	2
119	превращается в	3	2
120	то он	2	2
121	мы видим	3	2
122	то в	3	2
123	связи с	2	2
124	в которые	2	2
125	тот же	3	2
126	мы увидим	2	2
127	и тот	2	2
128	в сущности	6	2
129	с таким	2	2
130	бы не	2	2
131	в атмосфере	6	2
132	и эта	2	2
133	тому как	3	2
134	подобно тому	3	2
135	как будто	2	2
136	и этим	2	2
137	в которой	4	2
