N	2gram	Propp_Russ_2	Istorich
1	и в	29	28
2	может быть	13	25
3	и т	5	25
4	т д	5	22
5	не может	5	15
6	а не	4	15
7	никогда не	2	14
8	для нас	6	13
9	мы имеем	6	13
10	что в	22	12
11	то же	4	12
12	не только	10	12
13	все же	2	10
14	прежде всего	2	10
15	но и	8	10
16	т е	24	10
17	мы не	6	10
18	и что	5	10
19	в том	22	9
20	о том	9	9
21	то что	5	9
22	не в	4	9
23	что это	3	8
24	в лесу	10	8
25	не всегда	3	8
26	в лес	3	8
27	таким образом	6	8
28	в этом	11	8
29	но в	5	8
30	в этих	3	7
31	это не	5	7
32	том что	22	7
33	здесь мы	2	7
34	еще не	6	7
35	было бы	3	7
36	а в	9	7
37	этот вопрос	2	7
38	так же	4	7
39	с другой	2	6
40	не менее	2	6
41	тем не	2	6
42	видно что	2	6
43	что и	2	6
44	в этой	3	6
45	его в	8	6
46	представляют собой	7	6
47	так как	13	6
48	вместе с	6	6
49	вопрос о	4	5
50	царство мертвых	2	5
51	по существу	4	5
52	этого обряда	2	5
53	что здесь	3	5
54	но не	5	5
55	в качестве	3	5
56	не будем	3	5
57	что она	3	5
58	ее в	8	5
59	дело не	2	5
60	можно было	2	5
61	или в	7	5
62	их в	4	5
63	все это	10	4
64	с тем	6	4
65	связи с	2	4
66	и другие	14	4
67	там где	2	4
68	между собой	2	4
69	об этом	2	4
70	так что	4	4
71	представляет собой	2	4
72	и пр	2	4
73	одной стороны	2	4
74	один из	2	4
75	связь с	3	4
76	а именно	3	4
77	так в	2	4
78	с этим	2	4
79	с одной	2	4
80	как и	11	4
81	того что	3	4
82	и для	2	4
83	и с	10	4
84	и на	6	4
85	потому что	5	4
86	могут быть	2	4
87	все эти	3	4
88	не все	4	4
89	видели что	4	3
90	в стороне	2	3
91	представления о	2	3
92	во время	12	3
93	в образе	2	3
94	показывает что	8	3
95	не с	2	3
96	именно в	4	3
97	для этого	5	3
98	на этом	3	3
99	при этом	6	3
100	то время	2	3
101	не можем	2	3
102	там и	2	3
103	в целях	2	3
104	представлений о	2	3
105	выше мы	3	3
106	не совсем	2	3
107	в обряде	6	3
108	в котором	3	3
109	или на	8	3
110	должен быть	2	3
111	и по	3	3
112	с обрядами	2	3
113	из них	4	3
114	того как	2	3
115	в форме	2	3
116	в их	2	3
117	нас не	2	3
118	связь между	2	3
119	уже не	4	3
120	представлениями о	2	3
121	как мы	3	3
122	мы здесь	2	3
123	из которых	2	3
124	с религией	2	3
125	как это	4	3
126	или даже	3	3
127	тем что	3	3
128	должен был	3	3
129	в руки	2	3
130	во всем	2	3
131	в то	2	3
132	на эту	2	3
133	будто бы	5	3
134	что от	3	2
135	а с	2	2
136	это время	2	2
137	отличие от	3	2
138	к этому	5	2
139	и от	3	2
140	на природу	2	2
141	как уже	2	2
142	том чтобы	2	2
143	здесь в	2	2
144	в ее	3	2
145	а затем	4	2
146	живет в	3	2
147	мы видели	7	2
148	и как	2	2
149	вывод что	2	2
150	так чтобы	2	2
151	одна из	11	2
152	леса в	2	2
153	связанные с	2	2
154	связано с	2	2
155	для объяснения	2	2
156	на первый	3	2
157	же как	4	2
158	но если	3	2
159	как бы	18	2
160	по этому	2	2
161	в таких	3	2
162	еще в	2	2
163	это представление	4	2
164	как оно	2	2
165	говорит о	2	2
166	во всех	3	2
167	в некоторых	9	2
168	с ней	5	2
169	как в	7	2
170	то и	4	2
171	в отличие	3	2
172	этому поводу	2	2
173	мертвых и	2	2
174	в виде	4	2
175	этот обряд	6	2
176	должны были	2	2
177	на них	4	2
178	там же	12	2
179	две формы	2	2
180	этих случаях	4	2
181	одним из	2	2
182	должно быть	2	2
183	право на	2	2
184	во многих	9	2
185	а иногда	2	2
186	воздействовать на	2	2
187	между тем	3	2
188	на улицу	2	2
189	смерть и	2	2
190	из этого	2	2
191	в свете	3	2
192	на нее	6	2
193	когда мы	2	2
194	тогда когда	4	2
