N	3gram	Propp_Isto_7	Psycholo
1	в том что	4	9
2	и т д	16	8
3	не может быть	3	8
4	о том что	5	7
5	в том чтобы	2	7
6	в то время	2	5
7	с одной стороны	4	5
8	с другой стороны	8	5
9	этой точки зрения	3	5
10	то время как	2	5
11	так же как	4	4
12	с этой точки	3	4
13	как и в	2	4
14	точно так же	2	3
15	что у него	4	3
16	до сих пор	2	3
17	мы не можем	2	2
18	мы видим что	3	2
19	так и в	2	2
20	тем не менее	4	2
21	другой стороны и	2	2
22	а в том	2	2
23	от всех других	2	2
24	мы увидим что	2	2
25	на то чтобы	2	2
26	что и в	2	2
