N	2gram	Vinokur_Ku_2	DiskursI
1	в качестве	8	34
2	не только	20	28
3	в том	19	23
4	а не	10	22
5	том что	11	19
6	может быть	15	17
7	и в	23	16
8	как и	2	16
9	в этом	18	15
10	еще не	5	14
11	но и	7	14
12	при этом	2	13
13	прежде всего	8	11
14	но не	6	11
15	и не	16	11
16	с другой	8	10
17	как в	3	10
18	в частности	2	9
19	состоит в	2	9
20	в нем	4	9
21	не может	9	9
22	с одной	2	9
23	а также	3	8
24	отнюдь не	4	8
25	своего рода	4	8
26	так и	4	8
27	но в	11	8
28	в его	5	7
29	со стороны	4	7
30	то же	6	7
31	не было	4	7
32	роль в	2	7
33	только в	5	7
34	не в	8	7
35	в своем	2	6
36	ни к	15	6
37	к тому	4	5
38	можно сказать	4	5
39	в силу	7	5
40	как бы	4	5
41	в своей	2	5
42	то что	9	5
43	в процессе	3	5
44	в отличие	2	5
45	а в	3	5
46	в их	2	5
47	сводится к	3	5
48	отличие от	2	5
49	и на	6	5
50	в данном	4	5
51	что в	10	4
52	в них	4	4
53	не как	2	4
54	что он	5	4
55	уже не	8	4
56	же время	3	4
57	связи с	3	4
58	и о	4	4
59	в особенности	4	4
60	лишь в	5	4
61	что не	6	4
62	в которых	2	4
63	потому что	25	4
64	между тем	6	4
65	могут быть	4	4
66	перед нами	4	3
67	для обозначения	2	3
68	того же	3	3
69	это не	6	3
70	по себе	10	3
71	что и	3	3
72	свою очередь	2	3
73	в свою	2	3
74	с этим	3	3
75	в самом	12	3
76	себе не	2	3
77	один из	5	3
78	хотя бы	9	3
79	все же	7	3
80	как не	3	3
81	в основании	2	3
82	ли не	2	3
83	таким образом	5	3
84	именно в	3	3
85	заключается в	2	3
86	того что	3	3
87	должны быть	2	3
88	другой стороны	7	3
89	и даже	2	3
90	в своих	2	3
91	сказать что	4	3
92	тем что	3	3
93	точки зрения	14	3
94	в то	4	3
95	также и	5	3
96	и потому	2	3
97	слова в	6	2
98	однако и	2	2
99	не менее	7	2
100	по словам	2	2
101	и есть	2	2
102	никогда не	2	2
103	о котором	2	2
104	по крайней	6	2
105	или меньшей	3	2
106	и все	2	2
107	одного из	2	2
108	это в	2	2
109	к этому	4	2
110	не всегда	2	2
111	в году	2	2
112	не более	2	2
113	различие между	3	2
114	об этом	5	2
115	но зато	2	2
116	крайней мере	6	2
117	в соответствии	3	2
118	в пределах	4	2
119	есть в	3	2
120	на этом	3	2
121	большей или	3	2
122	отличается от	3	2
123	в сущности	9	2
124	обратить внимание	2	2
125	хотя и	4	2
126	будто бы	2	2
127	оно не	2	2
128	говоря уже	2	2
129	и тем	5	2
130	того или	2	2
131	наше время	2	2
132	на том	2	2
133	дело не	2	2
134	в форме	3	2
135	что же	5	2
136	данном случае	2	2
137	приводит к	5	2
138	целый ряд	5	2
139	языка и	8	2
140	в наше	2	2
141	своей собственной	3	2
142	отношения к	2	2
143	уже в	3	2
144	как мы	3	2
145	этого термина	2	2
146	и что	8	2
147	за рамки	2	2
148	и по	3	2
149	в современном	2	2
150	и его	3	2
151	или в	4	2
152	не следует	5	2
153	во всяком	5	2
154	мы имеем	5	2
155	что касается	2	2
156	характер и	2	2
157	соответствии с	2	2
158	в другом	2	2
159	и вообще	2	2
160	могла бы	2	2
161	не говоря	2	2
162	в этой	6	2
163	уже о	3	2
164	в виду	3	2
