N	2gram	Losev_Dial_1	VelikijI
1	и не	30	20
2	и в	18	16
3	то что	13	9
4	так как	11	9
5	еще не	2	8
6	от бога	3	8
7	к богу	3	8
8	что они	3	7
9	и потому	3	7
10	на земле	2	7
11	а не	14	7
12	не есть	40	6
13	в мире	2	5
14	хотя и	4	5
15	как бы	11	5
16	но и	7	5
17	все это	11	5
18	того что	2	5
19	и есть	16	4
20	что он	11	4
21	в нем	16	4
22	как и	2	4
23	в котором	4	4
24	так и	9	4
25	что не	7	4
26	потому что	14	4
27	в этом	12	4
28	в ней	3	4
29	говорить о	5	4
30	и все	3	4
31	в его	3	4
32	должна быть	3	3
33	что в	13	3
34	в этих	5	3
35	в них	3	3
36	в конце	4	3
37	ни в	15	3
38	в том	9	3
39	не в	6	3
40	но это	8	3
41	что я	3	3
42	и мы	5	3
43	к тому	4	3
44	никогда не	9	3
45	то это	4	3
46	что и	3	3
47	жизни и	3	3
48	как не	2	3
49	в своей	2	3
50	бы и	2	3
51	тому что	3	3
52	не было	6	3
53	и что	12	3
54	не имеет	15	3
55	хотя бы	6	3
56	и для	2	3
57	должно быть	3	3
58	от этого	3	3
59	все эти	2	3
60	в чем	6	3
61	но в	6	3
62	тот кто	2	2
63	что их	2	2
64	это не	9	2
65	прежде всего	10	2
66	да и	6	2
67	том что	9	2
68	мы и	2	2
69	от него	4	2
70	но не	4	2
71	это мы	4	2
72	конечно не	3	2
73	для него	2	2
74	вслед за	2	2
75	не только	13	2
76	один из	3	2
77	не с	5	2
78	и т	21	2
79	нем нет	3	2
80	нет еще	3	2
81	и тогда	2	2
82	т д	19	2
83	а с	2	2
84	все равно	3	2
85	уже не	2	2
86	а есть	4	2
87	его не	6	2
88	а в	5	2
89	с ним	6	2
90	можно было	5	2
91	и то	9	2
92	могут быть	3	2
93	только в	3	2
94	и это	2	2
95	во всяком	4	2
