N	2gram	Berdyaev_N_1	FransuaR
1	и в	16	41
2	в этом	7	15
3	и все	4	14
4	как и	7	14
5	все эти	2	13
6	прежде всего	4	11
7	в том	8	11
8	в себе	2	11
9	так и	2	10
10	все это	5	10
11	в то	2	10
12	не в	6	9
13	но и	3	9
14	и т.п	2	9
15	что в	9	9
16	и от	2	8
17	по существу	2	8
18	то что	4	8
19	но в	2	8
20	в них	4	7
21	в новой	7	7
22	в нем	5	7
23	и не	11	7
24	в эпоху	9	7
25	у него	2	6
26	все они	2	6
27	это не	4	6
28	ни в	6	6
29	есть в	2	6
30	о том	4	6
31	не только	5	5
32	и к	5	5
33	в ней	5	5
34	вместе с	2	5
35	как в	3	5
36	а в	2	5
37	и для	4	5
38	так же	2	5
39	и это	2	5
40	потому что	4	5
41	место в	2	4
42	хотя и	2	4
43	в одну	2	4
44	том что	2	4
45	в средние	3	4
46	одна из	2	4
47	средние века	7	4
48	может быть	7	4
49	он не	8	4
50	к жизни	3	4
51	мира и	2	4
52	должно быть	4	4
53	и на	2	4
54	и с	2	4
55	я не	2	3
56	и есть	10	3
57	нового времени	12	3
58	и потому	4	3
59	в мире	3	3
60	но это	6	3
61	такой же	2	3
62	совсем не	12	3
63	в своей	3	3
64	с ее	5	3
65	жизни и	8	3
66	во всех	3	3
67	не может	16	3
68	не было	4	3
69	не имеет	4	3
70	можно было	2	3
71	не знает	6	3
72	что все	2	2
73	с его	6	2
74	все время	2	2
75	никогда не	6	2
76	связаны с	2	2
77	с этим	2	2
78	том и	2	2
79	к тому	3	2
80	по своему	4	2
81	старый мир	2	2
82	еще не	3	2
83	должен быть	5	2
84	не есть	3	2
85	от старого	2	2
86	со всех	4	2
87	а не	17	2
88	уже не	2	2
89	роль в	2	2
90	мы не	2	2
91	к новому	7	2
92	это было	3	2
