N	2gram	Berdyaev_M_1	Tragedij
1	и в	28	18
2	в этом	20	9
3	в бесах	2	9
4	не только	29	8
5	он сам	6	7
6	и не	11	7
7	достоевский в	5	7
8	и на	6	7
9	и с	3	7
10	может быть	30	7
11	как бы	2	7
12	что он	10	6
13	и его	9	6
14	у него	17	6
15	но в	7	6
16	все же	2	5
17	это не	5	5
18	не может	28	5
19	как и	5	5
20	у достоевского	42	5
21	в то	2	5
22	это очень	3	5
23	но и	25	4
24	то что	5	4
25	что в	10	4
26	все это	6	4
27	прежде всего	10	4
28	и все	10	4
29	в нем	13	4
30	том что	3	4
31	в этой	6	4
32	и что	2	4
33	достоевский не	6	4
34	что достоевский	4	4
35	в себе	7	4
36	уже в	4	3
37	один из	4	3
38	достоевского в	9	3
39	о чем	2	3
40	в своем	10	3
41	никто не	2	3
42	в конце	7	3
43	как в	2	3
44	все эти	2	3
45	и он	12	3
46	и как	2	3
47	к нему	7	3
48	сам достоевский	3	3
49	должно быть	3	3
50	в его	9	3
51	для него	11	3
52	как будто	2	3
53	мог бы	4	3
54	в мире	10	3
55	с ним	2	3
56	то есть	3	3
57	еще в	2	2
58	из самых	8	2
59	не имеет	3	2
60	не могут	5	2
61	не был	7	2
62	что и	4	2
63	зла в	4	2
64	в самую	5	2
65	веру в	4	2
66	и я	5	2
67	а как	2	2
68	вопрос о	2	2
69	для достоевского	5	2
70	уже не	4	2
71	бы и	3	2
72	с его	3	2
73	отношение к	4	2
74	в преступлении	2	2
75	к тому	3	2
76	человеческой личности	4	2
77	не так	3	2
78	устремлен к	2	2
79	он был	14	2
80	в ее	3	2
81	в том	6	2
82	до конца	14	2
83	не в	16	2
84	вряд ли	3	2
85	потому что	16	2
86	с тем	9	2
87	тем что	4	2
88	он и	2	2
89	ивана карамазова	7	2
90	о том	2	2
91	его в	3	2
92	и это	12	2
93	нет в	4	2
94	в самом	11	2
95	не мог	3	2
96	достоевским в	2	2
97	ничего не	3	2
98	он не	24	2
99	никогда не	14	2
100	русской литературы	5	2
