N	2gram	Tiupa_Disk_2	Literetu
1	а не	14	20
2	и в	16	19
3	может быть	16	17
4	своего рода	10	13
5	то же	6	12
6	и не	15	11
7	и т.п	12	10
8	в том	8	10
9	как и	16	10
10	но и	11	10
11	лирический герой	3	10
12	состоит в	16	9
13	же время	5	9
14	такого рода	9	9
15	не может	9	9
16	тогда как	11	9
17	в мире	11	9
18	в этом	16	9
19	в то	5	9
20	с другой	5	8
21	не только	10	8
22	том что	10	7
23	то что	5	7
24	так и	9	7
25	с одной	4	7
26	я в	5	7
27	не менее	7	6
28	в себе	19	6
29	одной стороны	4	6
30	при этом	17	6
31	себя в	6	6
32	и на	5	6
33	столь же	3	5
34	но не	7	5
35	в качестве	16	5
36	он не	3	5
37	вместе с	2	5
38	в принципе	2	5
39	то есть	12	5
40	в рамках	7	4
41	лирическое я	2	4
42	что в	5	4
43	в частности	12	4
44	жизни в	3	4
45	прежде всего	7	4
46	не в	3	4
47	отнюдь не	6	4
48	того же	2	4
49	для него	5	4
50	в ней	2	4
51	в его	3	4
52	еще в	3	4
53	жизни и	3	4
54	человека в	4	4
55	другой стороны	2	4
56	причастности к	2	4
57	по отношению	4	4
58	точки зрения	4	4
59	лирического героя	5	4
60	в русской	3	4
61	в области	2	4
62	я и	4	4
63	никогда не	2	3
64	личности в	2	3
65	в себя	2	3
66	что он	2	3
67	идет о	2	3
68	в нем	7	3
69	и как	3	3
70	но это	3	3
71	такой же	2	3
72	в этой	4	3
73	в противовес	5	3
74	своего другого	2	3
75	не с	2	3
76	отношению к	4	3
77	коммуникативное событие	3	3
78	данном случае	6	3
79	со стороны	10	3
80	и для	2	3
81	этом отношении	4	3
82	тем самым	6	3
83	с точки	2	3
84	как на	3	3
85	а в	2	3
86	и его	3	3
87	и то	4	3
88	не столько	3	3
89	и с	2	3
90	следует признать	3	3
91	всей своей	3	3
92	в данном	7	3
93	в другом	3	3
94	другого в	2	3
95	не было	3	2
96	к жизни	3	2
97	же как	2	2
98	восходит к	3	2
99	не является	4	2
100	в них	3	2
101	в противоположность	5	2
102	в одном	4	2
103	как уже	2	2
104	художественного письма	7	2
105	а также	8	2
106	жизни как	2	2
107	этом случае	2	2
108	по формуле	2	2
109	присутствия в	3	2
110	разумеется не	4	2
111	одно и	2	2
112	еще не	6	2
113	жизни а	3	2
114	при всей	7	2
115	свое время	2	2
116	как бы	4	2
117	в свое	2	2
118	картина мира	4	2
119	для себя	2	2
120	что и	2	2
121	все же	6	2
122	с ее	2	2
123	но уже	2	2
124	в целом	2	2
125	не к	2	2
126	из них	3	2
127	могут быть	3	2
128	по преимуществу	2	2
129	русской литературе	2	2
130	и одновременно	2	2
131	той же	2	2
132	к своему	2	2
133	уже не	3	2
134	коммуникативного события	5	2
135	не более	2	2
136	героя в	5	2
137	взаимодействующих сознаний	2	2
138	и наконец	3	2
139	а к	2	2
140	не знает	3	2
141	являет собой	2	2
142	в своих	6	2
143	в результате	2	2
144	потому что	4	2
145	в основе	4	2
146	одно из	4	2
147	подобно тому	2	2
148	с читателем	3	2
149	соответствии с	3	2
150	о том	4	2
151	представляет собой	11	2
152	тому как	2	2
153	но в	11	2
154	одном из	3	2
155	мира в	3	2
