N	2gram	Tiupa_Vved_1	Psycholo
1	то что	6	37
2	и в	13	30
3	в том	10	27
4	что в	3	24
5	потому что	5	23
6	том что	7	21
7	таким образом	4	20
8	как бы	4	19
9	не только	20	16
10	в самом	2	14
11	в этом	21	14
12	как раз	2	13
13	то есть	8	13
14	одной стороны	5	12
15	с одной	5	12
16	если бы	7	11
17	может быть	18	11
18	что мы	2	11
19	о том	5	10
20	никогда не	4	9
21	с другой	5	9
22	не может	7	9
23	мы имеем	5	8
24	к тому	6	8
25	не в	6	8
26	а не	15	8
27	при этом	26	8
28	того что	6	8
29	самом деле	3	8
30	могут быть	4	8
31	по себе	2	7
32	в нем	5	7
33	но не	5	7
34	мы можем	2	7
35	все же	6	7
36	то же	5	7
37	действующих лиц	2	7
38	героя и	3	7
39	в основе	3	7
40	в своем	5	6
41	как и	11	6
42	и тем	2	6
43	и для	3	6
44	но и	19	6
45	и не	12	6
46	жизни и	7	6
47	и его	5	6
48	никак не	2	6
49	тем что	2	6
50	о котором	2	6
51	как будто	4	6
52	дело с	2	5
53	в целом	3	5
54	обратиться к	2	5
55	как мы	3	5
56	еще не	7	5
57	было бы	4	5
58	один из	3	5
59	другой стороны	2	5
60	а с	2	5
61	сводится к	4	5
62	в своих	2	5
63	в себе	5	5
64	но в	6	5
65	только в	6	5
66	бы в	3	5
67	в результате	3	4
68	в частности	13	4
69	и все	4	4
70	прежде всего	7	4
71	и к	2	4
72	в своей	5	4
73	в ней	4	4
74	в его	4	4
75	в них	2	4
76	внимание на	3	4
77	а в	6	4
78	о чем	2	4
79	не можем	2	4
80	не существует	2	3
81	и составляет	3	3
82	это не	6	3
83	не как	2	3
84	из этих	3	3
85	состоит в	10	3
86	к этому	2	3
87	что на	2	3
88	для нас	2	3
89	об этом	4	3
90	одна из	4	3
91	в свою	4	3
92	для него	3	3
93	имеет место	4	3
94	он не	3	3
95	что и	2	3
96	данном случае	6	3
97	так и	8	3
98	со стороны	5	3
99	как в	4	3
100	так в	4	3
101	это только	2	3
102	времени и	7	3
103	этом отношении	4	3
104	по поводу	2	3
105	в той	4	3
106	и наконец	2	3
107	целый ряд	2	3
108	мы не	4	3
109	можно было	2	3
110	в силу	2	3
111	и на	3	3
112	в данном	13	3
113	в этих	3	3
114	в состав	4	3
115	он является	2	2
116	перед нами	6	2
117	действующее лицо	2	2
118	представить себе	2	2
119	между собой	2	2
120	не является	3	2
121	в одной	2	2
122	или иной	3	2
123	можно сказать	4	2
124	до конца	3	2
125	в романе	6	2
126	ли не	2	2
127	и того	2	2
128	когда в	2	2
129	должна быть	2	2
130	в центре	2	2
131	том чтобы	2	2
132	той или	3	2
133	в качестве	8	2
134	еще в	2	2
135	в котором	8	2
136	его с	2	2
137	не с	3	2
138	строго говоря	2	2
139	представляют собой	3	2
140	во всех	2	2
141	быть и	2	2
142	по отношению	7	2
143	в отличие	2	2
144	все равно	2	2
145	приводит к	2	2
146	отличие от	2	2
147	и с	2	2
148	в нашем	6	2
149	что касается	5	2
150	исходя из	2	2
151	в то	4	2
152	в рассказе	6	2
153	как он	2	2
154	едва ли	3	2
155	на самом	4	2
