N	2gram	Vygotskiy__2	Otkroven
1	у него	2	22
2	и в	15	19
3	но и	10	13
4	и не	7	13
5	в этом	19	12
6	а не	3	11
7	не в	8	11
8	может быть	9	11
9	не только	15	11
10	человека и	3	10
11	и все	3	10
12	вопрос о	5	10
13	никогда не	8	9
14	в самой	3	9
15	потому что	7	9
16	прежде всего	4	9
17	лишь в	3	7
18	он не	7	7
19	в его	2	7
20	все это	4	6
21	как и	6	6
22	то что	20	5
23	а в	4	5
24	в том	33	5
25	для него	3	5
26	в этой	6	5
27	в самом	11	5
28	его мысли	4	4
29	с его	4	4
30	он сам	3	4
31	того чтобы	12	4
32	и его	4	4
33	все эти	3	4
34	не может	9	4
35	что в	14	4
36	не могут	2	3
37	в этих	2	3
38	и есть	2	3
39	это не	5	3
40	что он	12	3
41	того что	17	3
42	для того	10	3
43	хотя бы	4	3
44	быть может	2	3
45	могут быть	2	3
46	все что	5	3
47	и ее	3	3
48	в себе	2	3
49	было бы	10	3
50	когда он	3	3
51	о том	9	3
52	с ним	3	3
53	как бы	7	3
54	уже в	5	2
55	с которой	2	2
56	все же	4	2
57	что и	2	2
58	ее в	2	2
59	он в	3	2
60	и для	2	2
61	в истории	6	2
62	так и	8	2
63	в своем	9	2
64	что у	3	2
65	для человека	2	2
66	вопросом о	2	2
67	что же	2	2
68	что все	4	2
69	к этому	4	2
70	по себе	7	2
71	потребность в	4	2
72	но никогда	2	2
73	же это	2	2
74	и к	6	2
75	не имеет	4	2
76	должно быть	2	2
77	в которой	4	2
78	в других	2	2
79	что для	3	2
80	том что	27	2
81	своей жизни	2	2
82	в другом	2	2
83	что они	3	2
84	сказать что	6	2
85	и с	4	2
86	человека к	2	2
87	чем в	2	2
88	тем что	2	2
89	он прежде	2	2
90	в своей	4	2
91	так как	4	2
92	к этой	3	2
93	ничего не	3	2
94	и из	2	2
95	к ней	2	2
96	но в	6	2
97	много раз	2	2
