N	3gram	Losev_Vlad_2	Problema
1	с точки зрения	3	11
2	тем не менее	6	10
3	содержит в себе	4	8
4	в том что	9	8
5	по крайней мере	4	6
6	сам по себе	2	6
7	в данном случае	2	5
8	не только в	2	4
9	можно было бы	2	4
10	во всяком случае	6	4
11	о том что	3	3
12	у нас выше	3	3
13	точно так же	3	3
14	в связи с	8	3
15	необходимо сказать что	4	3
16	в то время	6	2
17	хотя и не	2	2
18	более или менее	3	2
19	в то же	3	2
20	не говоря уже	2	2
21	а то что	2	2
22	в том чтобы	2	2
23	или по крайней	2	2
24	заключается в том	2	2
