N	2gram	Vygotskiy__1	Otkroven
1	и в	23	19
2	но и	14	13
3	и не	9	13
4	в этом	17	12
5	а не	3	11
6	не в	4	11
7	может быть	14	11
8	не только	16	11
9	человека и	3	10
10	и все	5	10
11	вопрос о	7	10
12	никогда не	2	9
13	потому что	6	9
14	прежде всего	10	9
15	лишь в	6	7
16	он не	5	7
17	в его	14	7
18	все это	6	6
19	как и	14	6
20	то что	17	5
21	а в	2	5
22	в том	24	5
23	для него	2	5
24	в этой	7	5
25	в самом	7	5
26	его мысли	2	4
27	с его	4	4
28	и мысли	2	4
29	того чтобы	17	4
30	и его	6	4
31	все эти	4	4
32	не может	12	4
33	что в	14	4
34	в этих	2	3
35	мысли и	6	3
36	о природе	4	3
37	и вот	2	3
38	что он	7	3
39	того что	15	3
40	для того	15	3
41	хотя бы	4	3
42	в своих	5	3
43	и от	3	3
44	могут быть	3	3
45	и ее	7	3
46	в себе	6	3
47	было бы	4	3
48	когда он	2	3
49	о том	6	3
50	как бы	11	3
51	уже в	3	2
52	все же	3	2
53	ее в	2	2
54	он в	3	2
55	с тем	7	2
56	всего в	2	2
57	ничего кроме	2	2
58	так и	5	2
59	в своем	3	2
60	что у	2	2
61	что все	4	2
62	к этому	4	2
63	по себе	5	2
64	и к	4	2
65	ко всем	3	2
66	не имеет	2	2
67	должно быть	2	2
68	в ее	2	2
69	его не	3	2
70	в которой	3	2
71	что для	5	2
72	том что	21	2
73	в другом	7	2
74	и на	8	2
75	и то	3	2
76	что они	3	2
77	сказать что	11	2
78	и с	9	2
79	человека к	2	2
80	учение о	3	2
81	тем что	6	2
82	одно из	2	2
83	вместо того	2	2
84	в своей	4	2
85	так как	7	2
86	ничего не	3	2
87	не могли	2	2
88	хотя и	2	2
89	но в	5	2
90	и потому	2	2
