N	2gram	Propp_Russ_1	TeoriaLi
1	не только	22	18
2	в качестве	3	17
3	тогда как	2	16
4	и не	6	16
5	а в	9	14
6	в частности	2	13
7	и в	36	13
8	состоит в	8	13
9	может быть	8	12
10	так и	7	12
11	то есть	3	12
12	представляет собой	4	11
13	при этом	6	11
14	в этом	12	11
15	в том	17	11
16	но не	2	10
17	а не	2	10
18	в его	2	9
19	то же	3	9
20	что в	19	8
21	своего рода	3	8
22	но и	16	8
23	том что	19	7
24	точки зрения	3	7
25	только в	4	7
26	как это	8	7
27	еще не	4	6
28	как бы	5	6
29	но в	2	6
30	в своем	3	5
31	а также	3	5
32	как и	10	5
33	в нем	2	5
34	как в	5	5
35	а а	25	5
36	уже не	6	5
37	не случайно	2	5
38	между тем	7	5
39	мы имеем	4	5
40	не менее	3	4
41	в свою	3	4
42	и а	4	4
43	то что	6	4
44	в их	4	4
45	приводит к	3	4
46	не может	4	4
47	хотя и	2	4
48	а и	5	4
49	как правило	3	4
50	слова в	3	3
51	и др	4	3
52	в нашем	2	3
53	в этих	3	3
54	и к	3	3
55	тем не	3	3
56	свою очередь	2	3
57	того что	4	3
58	например в	2	3
59	и потому	2	3
60	этого слова	3	3
61	так в	4	3
62	входит в	4	3
63	таким образом	6	3
64	а с	4	3
65	и что	4	3
66	и по	8	3
67	или в	2	3
68	потому что	10	3
69	между двумя	2	3
70	все эти	2	3
71	о чем	3	2
72	могут быть	2	2
73	себя и	2	2
74	между собой	2	2
75	это не	10	2
76	к тому	4	2
77	об этом	9	2
78	равной степени	2	2
79	и как	2	2
80	что они	7	2
81	в большинстве	2	2
82	имеет место	2	2
83	у и	2	2
84	к жизни	3	2
85	не с	3	2
86	в целом	2	2
87	во всех	4	2
88	вместе с	10	2
89	но она	2	2
90	не на	2	2
91	и для	2	2
92	в году	2	2
93	и некоторые	3	2
94	с точки	3	2
95	так же	3	2
96	их в	3	2
97	у него	2	2
98	на себя	2	2
99	и здесь	2	2
100	как будто	5	2
101	в равной	2	2
102	о том	8	2
103	в области	3	2
