N	2gram	Kanaev_Sov_1	Vladivir
1	и в	7	31
2	не только	4	24
3	и не	6	17
4	у него	2	15
5	и даже	2	15
6	что в	2	14
7	в этом	7	14
8	в его	2	12
9	но в	3	12
10	в том	4	11
11	как мы	2	9
12	а в	4	9
13	в конце	3	9
14	в дальнейшем	4	8
15	и по	2	8
16	так как	4	8
17	уже в	3	7
18	и к	3	6
19	у нас	3	6
20	и потому	3	6
21	может быть	12	6
22	не может	17	6
23	то же	3	6
24	и что	2	6
25	на этот	2	6
26	все это	3	5
27	не в	3	5
28	которой он	2	5
29	жизни и	4	5
30	что же	5	5
31	и все	3	4
32	в нем	3	4
33	для нас	3	4
34	в себе	3	4
35	как и	6	4
36	в этой	3	4
37	такого рода	2	4
38	в нашем	2	4
39	как он	3	4
40	в которой	2	4
41	в виде	2	3
42	отнюдь не	3	3
43	ничего не	6	3
44	тот же	2	3
45	все же	3	3
46	на его	2	3
47	в целом	4	3
48	вместе с	4	3
49	таким образом	11	3
50	все эти	5	3
51	уже не	2	3
52	в науке	2	3
53	он в	3	3
54	не менее	2	2
55	для его	2	2
56	нет и	4	2
57	что все	2	2
58	ясно что	3	2
59	тем не	2	2
60	мы знаем	2	2
61	на этом	2	2
62	еще не	3	2
63	при этом	3	2
64	было бы	3	2
65	и мы	3	2
66	некоторое время	2	2
67	совершенно не	2	2
68	в самом	2	2
69	всяком случае	2	2
70	из них	4	2
71	не будем	2	2
72	что она	3	2
73	но мы	3	2
74	то и	2	2
75	что такое	2	2
76	той же	2	2
77	в результате	6	2
78	во всяком	2	2
79	знаем что	2	2
80	точки зрения	12	2
81	из этих	2	2
82	мы должны	4	2
83	в которую	2	2
