N	2gram	Bakhtin_sl_2	Analitik
1	в этом	16	18
2	и в	39	16
3	не только	24	16
4	так и	15	15
5	как и	6	14
6	в том	5	12
7	но и	21	12
8	и не	22	12
9	том что	5	12
10	могут быть	7	10
11	как бы	7	10
12	при этом	7	10
13	а не	14	10
14	в пределах	13	9
15	лишь в	3	9
16	и даже	7	9
17	то есть	26	9
18	в данном	2	8
19	и т.п	2	8
20	в себе	2	7
21	то что	2	7
22	особенно в	2	7
23	о том	2	7
24	а также	3	7
25	с другой	5	6
26	и на	4	6
27	говорить о	3	6
28	может быть	37	6
29	как это	3	6
30	но в	6	6
31	и к	6	5
32	в контексте	3	5
33	с одной	5	5
34	не менее	4	4
35	в своем	6	4
36	у него	3	4
37	этом случае	6	4
38	уже не	5	4
39	не в	9	4
40	за пределы	2	4
41	но не	6	4
42	для него	7	4
43	одной стороны	5	4
44	в сущности	6	4
45	и особенно	2	4
46	не с	3	4
47	отношению к	4	4
48	во всех	12	4
49	как в	13	4
50	все это	16	4
51	по отношению	4	4
52	не может	20	4
53	на этом	3	4
54	и его	33	4
55	то же	4	4
56	хотя и	2	4
57	точки зрения	8	4
58	только в	5	4
59	в себя	2	4
60	борьбы с	3	3
61	не был	2	3
62	борьба с	4	3
63	никогда не	7	3
64	в нашем	2	3
65	как о	2	3
66	не столько	3	3
67	на фоне	4	3
68	прежде всего	8	3
69	как уже	2	3
70	или иной	5	3
71	его от	3	3
72	со своим	9	3
73	на его	2	3
74	или в	2	3
75	той или	5	3
76	что и	3	3
77	в их	2	3
78	этом отношении	3	3
79	не знает	2	3
80	именно в	2	3
81	а в	4	3
82	как мы	7	3
83	с ними	5	3
84	в результате	2	3
85	автора и	2	3
86	романа в	5	3
87	и все	5	3
88	для всех	4	2
89	или даже	3	2
90	в одном	2	2
91	вовсе не	10	2
92	по себе	5	2
93	к своему	9	2
94	его как	2	2
95	отличие от	13	2
96	все что	2	2
97	же время	4	2
98	что в	3	2
99	с их	3	2
100	она не	6	2
101	еще не	7	2
102	ведь и	2	2
103	значительной степени	6	2
104	диалог в	2	2
105	даже в	2	2
106	один из	5	2
107	с ее	2	2
108	себя в	8	2
109	и их	5	2
110	в отличие	12	2
111	вместе с	2	2
112	на него	2	2
113	и внутренне	2	2
114	языка и	9	2
115	отношения к	4	2
116	таким образом	8	2
117	здесь в	3	2
118	той же	3	2
119	на котором	2	2
120	еще более	2	2
121	те же	2	2
122	но эта	2	2
123	и слово	2	2
124	в значительной	6	2
125	этих случаях	2	2
126	и для	5	2
127	с точки	3	2
128	роль в	2	2
129	в таком	4	2
130	между тем	3	2
131	речи и	3	2
132	он не	2	2
133	к его	2	2
134	на протяжении	2	2
135	в то	4	2
136	в его	7	2
137	в поэзии	2	2
138	его в	4	2
139	в этих	7	2
140	сказать что	3	2
141	с ним	7	2
