N	2gram	Berdyaev_O_1	Istorich
1	и в	19	26
2	т е	4	22
3	так как	2	18
4	никогда не	9	13
5	потому что	9	13
6	что в	4	12
7	в том	5	12
8	и на	2	12
9	в этом	12	12
10	может быть	11	11
11	том что	2	10
12	и не	13	10
13	не только	11	10
14	что он	3	9
15	еще не	3	9
16	но и	13	9
17	в нем	10	8
18	все же	2	8
19	все эти	4	8
20	с ним	3	8
21	и его	4	7
22	у него	22	7
23	о том	3	7
24	но в	2	7
25	то что	5	6
26	и там	2	6
27	ее в	2	6
28	не может	4	6
29	и с	2	6
30	в русской	3	6
31	как и	6	5
32	в его	7	5
33	так и	2	5
34	тем что	2	5
35	его в	2	5
36	и этим	2	5
37	с тем	2	4
38	это не	3	4
39	прежде всего	9	4
40	с его	4	4
41	все что	3	4
42	как бы	3	4
43	что и	2	4
44	на земле	4	4
45	и он	8	4
46	в других	2	4
47	и ее	3	3
48	могут быть	3	3
49	и от	3	3
50	к этому	2	3
51	вопрос о	10	3
52	так что	2	3
53	не в	11	3
54	от него	7	3
55	когда он	3	3
56	в своей	2	3
57	а в	5	3
58	и вот	3	3
59	в своих	3	3
60	и то	2	3
61	сказать что	2	3
62	же можно	2	3
63	в себе	3	3
64	не было	9	3
65	него и	4	3
66	в этих	3	2
67	в своем	2	2
68	что у	2	2
69	но он	7	2
70	он был	8	2
71	что они	2	2
72	на западе	2	2
73	было бы	3	2
74	никто не	3	2
75	него в	5	2
76	не есть	2	2
77	не имеет	2	2
78	что же	2	2
79	он не	7	2
80	человека в	11	2
81	а не	11	2
82	того что	3	2
83	что не	4	2
84	его не	2	2
85	в этой	5	2
86	ничего не	2	2
