N	2gram	Vygotskiy__2	Analitik
1	в этом	13	18
2	художественного впечатления	2	17
3	в частности	3	16
4	и в	32	16
5	не только	12	16
6	так и	3	15
7	как и	10	14
8	в том	37	12
9	но и	10	12
10	и не	10	12
11	том что	21	12
12	иначе говоря	4	11
13	могут быть	4	10
14	как бы	6	10
15	при этом	13	10
16	а не	7	10
17	и даже	5	9
18	в этой	6	9
19	ничего не	4	9
20	то есть	21	9
21	в данном	4	8
22	отнюдь не	5	8
23	состоит в	3	8
24	в целом	4	8
25	к тому	7	7
26	в себе	2	7
27	то что	21	7
28	в игре	2	7
29	о том	6	7
30	с другой	3	6
31	в самом	12	6
32	и на	5	6
33	может быть	18	6
34	как это	4	6
35	но в	3	6
36	говорит о	2	5
37	и к	3	5
38	данном случае	4	5
39	не менее	8	4
40	к игре	2	4
41	столь же	4	4
42	в конце	3	4
43	не в	8	4
44	но не	2	4
45	не любит	2	4
46	того же	2	4
47	в сущности	7	4
48	и тем	4	4
49	во всех	3	4
50	как в	9	4
51	все это	5	4
52	как раз	5	4
53	не может	17	4
54	на этом	3	4
55	и его	7	4
56	то же	13	4
57	не так	2	4
58	он в	3	4
59	точки зрения	17	4
60	только в	7	4
61	в сознании	4	4
62	казалось бы	2	3
63	место в	2	3
64	никогда не	9	3
65	или иного	2	3
66	что на	4	3
67	тем не	4	3
68	его от	2	3
69	так что	3	3
70	было бы	11	3
71	и сам	4	3
72	в действительности	4	3
73	несмотря на	4	3
74	мы имеем	4	3
75	на его	2	3
76	что и	17	3
77	из них	4	3
78	в их	3	3
79	только на	5	3
80	если бы	6	3
81	ответ на	2	3
82	этом отношении	5	3
83	того или	3	3
84	можно было	7	3
85	а в	4	3
86	тому как	3	3
87	и то	3	3
88	тем что	9	3
89	подобно тому	2	3
90	как будто	7	3
91	сводится к	2	3
92	эстетического объекта	2	3
93	едва ли	4	3
94	в конечном	3	3
95	и все	4	3
96	в общем	3	2
97	художественного произведения	5	2
98	того что	8	2
99	была бы	2	2
100	при таком	4	2
101	в состоянии	2	2
102	в одном	2	2
103	что все	9	2
104	вовсе не	2	2
105	по себе	12	2
106	на то	11	2
107	к своему	2	2
108	конечном счете	3	2
109	отличие от	2	2
110	по существу	3	2
111	все что	2	2
112	же время	2	2
113	что в	20	2
114	что с	3	2
115	она не	2	2
116	еще не	2	2
117	в своей	3	2
118	для нее	2	2
119	один из	3	2
120	это было	3	2
121	с ее	3	2
122	с той	4	2
123	как говорит	3	2
124	и их	3	2
125	вместе с	2	2
126	на него	2	2
127	что она	16	2
128	вслед за	5	2
129	другой стороны	2	2
130	в нас	3	2
131	таким образом	21	2
132	той же	8	2
133	и наоборот	2	2
134	еще более	3	2
135	те же	6	2
136	того и	2	2
137	но эта	2	2
138	на этот	2	2
139	и он	3	2
140	не имеет	4	2
141	и для	4	2
142	с точки	10	2
143	так же	18	2
144	роль в	2	2
145	в таком	2	2
146	и до	4	2
147	никак не	4	2
148	между тем	4	2
149	на которую	2	2
150	он не	6	2
151	это только	3	2
152	в то	5	2
153	в его	2	2
154	в поэзии	3	2
155	в этих	2	2
156	в произведении	4	2
157	сказать что	7	2
158	произведения как	2	2
