N	2gram	Bakhtin_Pr_3	VerxiiNi
1	и в	53	26
2	таким образом	6	22
3	вместе с	2	15
4	в этом	8	15
5	точки зрения	4	13
6	как бы	14	12
7	в том	14	11
8	может быть	12	10
9	не только	4	10
10	и с	6	10
11	что в	2	9
12	но и	7	9
13	в области	3	9
14	так как	7	9
15	с другой	2	8
16	главным образом	3	8
17	но не	5	8
18	и не	15	8
19	и у	7	8
20	связанные с	3	7
21	том что	5	7
22	из них	4	7
23	то что	9	7
24	в эпоху	10	7
25	потому что	5	7
26	но в	5	7
27	в конце	3	6
28	и потому	5	6
29	того же	2	6
30	несмотря на	2	6
31	что и	3	6
32	так и	6	6
33	все это	8	6
34	все эти	9	6
35	с точки	2	6
36	в себе	5	6
37	мы должны	4	6
38	и т.д	2	6
39	о том	2	6
40	том числе	11	5
41	образом в	2	5
42	и к	5	5
43	тому же	2	5
44	отношение к	6	5
45	до сих	5	5
46	одной из	4	5
47	в его	8	5
48	никогда не	2	5
49	сих пор	5	5
50	или менее	3	5
51	а не	11	5
52	и для	4	5
53	в мире	5	5
54	более или	3	5
55	в этих	5	4
56	и от	3	4
57	что он	4	4
58	в нем	10	4
59	числе и	10	4
60	в смысле	2	4
61	в самом	2	4
62	не может	2	4
63	а в	2	4
64	то же	6	4
65	и по	3	4
66	с другими	3	4
67	бога и	2	4
68	он не	3	4
69	в то	5	4
70	только в	4	4
71	то есть	48	4
72	далеко не	2	4
73	не менее	3	3
74	и другие	9	3
75	что это	2	3
76	хотя бы	2	3
77	к этому	4	3
78	можно сказать	8	3
79	с самого	3	3
80	и если	3	3
81	тем не	2	3
82	с ней	3	3
83	в связи	2	3
84	при этом	3	3
85	и даже	2	3
86	в которой	2	3
87	в таком	2	3
88	уже в	2	2
89	начиная с	3	2
90	самого начала	4	2
91	с его	2	2
92	он в	2	2
93	именно в	2	2
94	пор еще	2	2
95	связана с	2	2
96	в них	2	2
97	сравнению с	4	2
98	и особенно	3	2
99	в образе	3	2
100	на все	2	2
101	прежде всего	15	2
102	под разными	3	2
103	а также	4	2
104	по существу	5	2
105	мы видели	2	2
106	в начале	2	2
107	что именно	2	2
108	по своему	6	2
109	силы и	2	2
110	же время	5	2
111	и другой	3	2
112	так например	2	2
113	тот же	2	2
114	еще не	5	2
115	со всеми	8	2
116	и из	3	2
117	конечно не	4	2
118	вплоть до	4	2
119	для всех	2	2
120	один из	6	2
121	жизни и	9	2
122	во всех	12	2
123	быть и	2	2
124	связь с	2	2
125	всех других	2	2
126	особенно в	4	2
127	в разных	4	2
128	не было	4	2
129	одновременно и	3	2
130	одним из	3	2
131	наконец в	2	2
132	и на	18	2
133	можно назвать	2	2
134	сказать что	10	2
135	не в	2	2
136	мы можем	5	2
137	и наконец	2	2
138	по своей	9	2
139	по сравнению	4	2
140	или по	3	2
141	и все	10	2
142	и это	3	2
143	в эту	3	2
144	между тем	2	2
