N	3gram	Vinokur_Vv_1	EvropaiC
1	в том что	12	16
2	до сих пор	5	12
3	по отношению к	4	10
4	с точки зрения	2	8
5	для того чтобы	21	6
6	по сравнению с	3	5
7	в самом деле	5	5
8	не может быть	8	4
9	о том что	12	4
10	может быть и	2	4
11	тем не менее	8	4
12	с течением времени	6	4
13	в конце концов	2	4
14	с другой стороны	5	4
15	в этом случае	6	4
16	и того же	2	3
17	в данном случае	4	3
18	одного и того	2	3
19	в целом ряде	2	3
20	в связи с	2	3
21	и то что	2	3
22	заключается в том	3	3
23	так или иначе	4	3
24	в то же	5	2
25	в том виде	3	2
26	и в том	3	2
27	что же касается	2	2
28	не может служить	2	2
29	то же время	5	2
30	с одной стороны	4	2
31	что несмотря на	2	2
32	во всяком случае	3	2
33	но все же	3	2
34	вместе с тем	3	2
35	принять во внимание	2	2
