N	2gram	Vygotskiy__3	Sotsiolo
1	все это	6	7
2	в том	23	5
3	в этом	14	5
4	метод в	2	4
5	не в	6	3
6	для нас	2	3
7	и только	2	3
8	в его	15	3
9	и в	25	3
10	не только	6	3
11	по отношению	3	2
12	еще не	4	2
13	было бы	10	2
14	только в	10	2
15	таким образом	17	2
16	том что	20	2
17	то же	2	2
18	отношению к	2	2
19	то что	15	2
20	главным образом	2	2
21	может быть	13	2
22	в результате	3	2
23	в частности	4	2
24	и что	10	2
25	но и	4	2
26	и заключается	2	2
27	в смысле	4	2
28	к которому	3	2
29	исторического развития	2	2
30	как бы	10	2
31	что в	17	2
