N	2gram	Kanaev_Sov_1	Marksizm
1	может быть	12	28
2	и пр	2	25
3	и в	7	19
4	как бы	4	19
5	и не	6	19
6	не может	17	18
7	точки зрения	12	17
8	то же	3	16
9	как мы	2	15
10	в этом	7	15
11	таким образом	11	14
12	так сказать	2	14
13	не только	4	13
14	с точки	5	13
15	в нем	3	11
16	не в	3	10
17	при этом	3	9
18	как и	6	9
19	самом деле	2	9
20	а не	3	9
21	отнюдь не	3	8
22	в том	4	7
23	но в	3	7
24	прежде всего	5	7
25	одна из	3	7
26	в таком	2	7
27	в свою	2	6
28	в самом	2	6
29	с помощью	4	6
30	же самое	2	6
31	и все	3	6
32	быть и	2	6
33	если мы	4	6
34	мы можем	6	6
35	свою очередь	2	5
36	самого начала	3	5
37	то ни	2	5
38	или иной	2	5
39	на этой	3	5
40	совершенно не	2	5
41	в его	2	5
42	все же	3	5
43	с самого	3	5
44	это не	4	4
45	все те	2	4
46	мы видели	4	4
47	значение в	2	4
48	из одного	2	4
49	было бы	3	4
50	тем же	2	4
51	в себе	3	4
52	и т.д	3	4
53	ничего не	6	4
54	каждый раз	6	3
55	в этой	3	3
56	а в	4	3
57	с этим	2	3
58	с одной	2	3
59	все эти	5	3
60	в живом	2	3
61	так как	4	3
62	для его	2	3
63	конечно в	2	3
64	у нас	3	3
65	еще не	3	3
66	в отличие	2	3
67	той же	2	3
68	во всяком	2	3
69	могут быть	2	3
70	отличие от	2	3
71	уже в	3	2
72	что в	2	2
73	что это	2	2
74	в нашем	2	2
75	точку зрения	4	2
76	вопрос о	4	2
77	мы знаем	2	2
78	всяком случае	2	2
79	в зависимости	4	2
80	жизни и	4	2
81	в системе	3	2
82	и даже	2	2
83	у него	2	2
84	зависимости от	4	2
85	ведь это	3	2
86	и потому	3	2
87	и именно	2	2
88	приводит к	2	2
89	или же	2	2
90	еще более	2	2
91	мы не	9	2
92	в виде	2	2
93	если же	2	2
94	вместе с	4	2
