N	2gram	Ircho_Kome_1	FransuaR
1	и в	22	41
2	таким образом	8	17
3	в нем	4	16
4	и с	3	16
5	и его	8	13
6	но и	11	13
7	как мы	4	12
8	в этом	3	12
9	все это	5	11
10	прежде всего	5	10
11	в самом	2	10
12	не только	10	10
13	так как	4	10
14	то что	2	10
15	здесь в	3	9
16	во время	5	9
17	и на	3	9
18	и все	3	9
19	о том	8	9
20	в сущности	2	8
21	здесь и	2	8
22	в этой	7	8
23	но в	4	8
24	у него	3	7
25	в них	3	7
26	вовсе не	2	7
27	том что	12	7
28	как и	9	7
29	что в	6	7
30	в его	5	7
31	в образе	3	6
32	что он	6	6
33	в году	3	6
34	один из	5	6
35	вместе с	2	6
36	или в	2	6
37	в то	10	6
38	то же	6	5
39	в одном	8	5
40	так же	3	5
41	же время	4	5
42	а также	4	5
43	из них	10	5
44	так и	5	5
45	до нас	5	5
46	еще в	5	5
47	тем что	4	5
48	но он	2	5
49	в себе	2	5
50	уже в	5	4
51	с другой	5	4
52	нового времени	5	4
53	он был	2	4
54	именно в	4	4
55	у нас	3	4
56	и как	3	4
57	не в	6	4
58	все что	2	4
59	тот же	3	4
60	одной стороны	3	4
61	в котором	4	4
62	нашей эры	2	4
63	даже в	3	4
64	все же	3	4
65	не может	2	4
66	с одной	3	4
67	как в	5	4
68	именно на	2	4
69	и даже	5	4
70	а в	6	4
71	в результате	4	4
72	в другом	4	4
73	того же	2	4
74	на все	2	3
75	одной из	3	3
76	но это	2	3
77	до сих	2	3
78	было бы	2	3
79	и сам	3	3
80	в начале	3	3
81	не мог	3	3
82	и особенно	4	3
83	к этим	3	3
84	в первой	2	3
85	сих пор	2	3
86	этом отношении	3	3
87	при этом	5	3
88	и не	8	3
89	мы встречаем	5	3
90	к нему	2	3
91	только в	3	3
92	в чем	3	3
93	потому что	5	3
94	времени и	2	2
95	на сцену	2	2
96	в частности	3	2
97	для этого	2	2
98	и во	2	2
99	в конце	6	2
100	в том	11	2
101	раз в	2	2
102	что они	4	2
103	на этом	2	2
104	но не	2	2
105	как известно	2	2
106	до конца	2	2
107	может быть	9	2
108	за пределы	2	2
109	хотя и	3	2
110	он не	3	2
111	в эти	2	2
112	мы видели	2	2
113	в форме	2	2
114	другой стороны	5	2
115	как раз	3	2
116	которых мы	2	2
117	как это	3	2
118	в истории	5	2
119	и у	3	2
120	мы не	3	2
121	каждый из	3	2
122	между тем	5	2
123	образом в	2	2
124	одну из	2	2
125	точки зрения	4	2
126	на его	5	2
127	тех же	2	2
128	в области	2	2
