N	2gram	Bakhtin_KF_1	Myshleni
1	то что	7	26
2	что он	2	25
3	в этом	14	25
4	потому что	2	21
5	в том	6	18
6	не может	27	18
7	точки зрения	12	18
8	того чтобы	2	17
9	что в	4	16
10	и в	24	16
11	того что	3	16
12	не только	5	16
13	том что	4	15
14	для того	3	14
15	в процессе	2	13
16	отношению к	22	12
17	вопрос о	2	12
18	по отношению	26	12
19	и не	26	12
20	в области	2	12
21	отношение к	5	11
22	в его	40	11
23	но не	12	10
24	было бы	8	10
25	а не	17	10
26	только в	16	10
27	может быть	45	9
28	с точки	9	9
29	должно быть	6	8
30	о том	3	8
31	в основе	5	8
32	если бы	8	8
33	как и	5	8
34	он не	6	8
35	то же	5	8
36	тем самым	4	8
37	и есть	9	7
38	в нем	28	7
39	так и	2	7
40	по себе	2	7
41	не в	12	6
42	в этой	2	6
43	но и	9	6
44	и на	3	6
45	но в	5	6
46	в другом	3	6
47	должна быть	4	5
48	никогда не	5	5
49	тому что	2	5
50	в своем	16	5
51	для него	8	5
52	как бы	9	5
53	хотя бы	4	5
54	еще более	2	5
55	не знает	5	5
56	в то	3	5
57	с ним	5	5
58	тогда когда	3	5
59	как в	2	5
60	тем что	3	5
61	ничего не	3	5
62	все эти	10	4
63	это не	10	4
64	это есть	2	4
65	в свою	3	4
66	при этом	4	4
67	в целом	10	4
68	и их	6	4
69	мышления и	2	4
70	именно в	5	4
71	оба эти	2	4
72	не имеет	5	4
73	в качестве	2	4
74	еще не	4	4
75	не есть	20	4
76	и то	2	4
77	могут быть	3	4
78	и т.д	2	4
79	не менее	3	3
80	прежде всего	2	3
81	в смысле	6	3
82	и как	2	3
83	но это	6	3
84	самом деле	3	3
85	но как	5	3
86	до конца	3	3
87	к нему	12	3
88	и тем	3	3
89	его и	2	3
90	от того	3	3
91	в их	8	3
92	он имеет	2	3
93	сознания в	2	3
94	а в	4	3
95	говорить о	2	3
96	действительно ли	2	3
97	между тем	4	3
98	мы не	3	3
99	с тем	2	3
100	в одном	4	3
101	к этому	2	3
102	он может	2	3
103	и отношения	2	3
104	включает в	2	3
105	все же	5	3
106	и того	2	3
107	это и	2	3
108	по своему	3	3
109	и может	3	3
110	что и	7	3
111	вытекает из	2	3
112	в себя	7	3
113	из которых	2	3
114	что значит	2	3
115	и его	17	3
116	ничего общего	2	3
117	что эта	2	3
118	в чем	4	3
119	я не	6	2
120	себя и	2	2
121	теории и	3	2
122	но все	5	2
123	не дает	3	2
124	в ней	3	2
125	в виду	3	2
126	совершенно не	6	2
127	в котором	24	2
128	в своей	10	2
129	все это	10	2
130	для другого	2	2
131	что только	2	2
132	на основе	7	2
133	к ним	4	2
134	в своих	3	2
135	в момент	3	2
136	может иметь	2	2
137	и здесь	7	2
138	сознания и	3	2
139	в единстве	7	2
140	в жизни	2	2
141	вовсе не	7	2
142	его в	5	2
143	быть в	4	2
144	и эти	2	2
145	что я	5	2
146	во всем	7	2
147	со всеми	2	2
148	или иным	2	2
149	жизни и	8	2
150	в корне	2	2
151	в определенной	2	2
152	и потому	2	2
153	во всех	11	2
154	а с	2	2
155	его на	2	2
156	и единство	3	2
